"da_cue","da_target","da_fake_target","da_fake_cue","en_cue","en_target"
"abe","gorilla","govorsla","sle","monkey","gorilla"
"åben","tæt","irt","pæen","open","close"
"åbenbaring","vision","vitens","drikbaring","revelation","vision"
"åbning","lukning","bytning","åbligt","opening","closure"
"absolut","fuldstændig","livsstændig","absotøjs","absolutely","completely"
"adelig","modig","mokra","vaclig","noble","brave"
"administration","regering","regesnak","adminikangsttion","administration","government"
"advarsel","besked","bebard","adfilmsel","warning","message"
"æble","frugt","fraet","jesle","apple","fruit"
"æsel","hest","hebræ","dlel","donkey","horse"
"afbryde","forstyrre","fordensre","afspærde","interrupt","disturb"
"affald","affald","afskyd","afskyd","trash","garbage"
"afrika","amerika","kryprika","britka","africa","america"
"afslut","indgang","tergang","afstad","exit","entrance"
"afsnit","afsnit","afmart","aftist","section","paragraph"
"afspejling","spejl","sprol","afspejderæ","reflection","mirror"
"afstand","hastighed","hatavshed","afplads","distance","speed"
"aftensmad","morgenmad","morgentons","afgiftmad","dinner","breakfast"
"agent","detektiv","detekberg","agust","agent","detective"
"aids","hiv","ælv","aith","aids","hiv"
"aktiv","aktivitet","aktivisions","akken","active","activity"
"aktivér","give","bagve","akvisor","enable","provide"
"album","sang","fæng","alhey","album","song"
"aldrig","nogensinde","nogensindestruction","alslog","never","ever"
"alene","ensom","enbar","digne","alone","lonely"
"alert","alarmer","kravmer","bjert","alert","alarm"
"alkohol","medicin","medimers","alkoflig","alcohol","drug"
"allerede","stadig","foldig","alleredestruction","already","still"
"almindelig","sædvanlig","feltvanlig","alfredsdelig","ordinary","usual"
"altid","konstant","konstien","alkre","always","constantly"
"amatør","professionel","protokolsionel","amaeld","amateur","professional"
"ambassade","ministerium","minidaiquirium","ambassadestruction","embassy","ministry"
"ambassadør","minister","miniligt","ambassations","ambassador","minister"
"ambulance","helikopter","helistiskter","ambulancestatsankla","ambulance","helicopter"
"analytiker","investigator","investigatordenskjold","stjerlytiker","analyst","investigator"
"anarki","kapitalisme","kapitalismeligstemp","bradki","anarchy","capitalism"
"anatomi","psykologi","brandkologi","anatomilieportræt","anatomy","psychology"
"andre steder","et eller andet sted","et eller anderuleus","andre stnovas","elsewhere","somewhere"
"anhænger","van","awn","anspørger","trailer","van"
"anker","sejle","winle","ansva","anchor","sail"
"ankomme","komme","lisme","angrebme","arrive","come"
"ankomst","afgang","afhent","andring","arrival","departure"
"anonym","ukendt","ggendt","anolut","anonymous","unknown"
"ansøge","brug","roug","anfaldge","apply","use"
"anstændig","ærlig","ærger","anfalddig","decent","honest"
"ansvar","pligt","voigt","anstæn","responsibility","duty"
"antal","kvalitet","stillitet","ancen","quantity","quality"
"areal","zone","kulne","flæal","area","zone"
"arena","slagmark","slagmont","gelna","arena","battlefield"
"århundrede","årti","fodti","årtietsrede","century","decade"
"arrange","organisere","organisereceptblok","arbejdge","arrange","organize"
"arsenal","armory","arroon","arsefest","arsenal","armory"
"artifact","medaljong","medalkeit","artihundect","artifact","medallion"
"artikel","avis","avca","artidigt","article","newspaper"
"aske","støv","stkk","imke","ash","dust"
"aspirin","morfin","morvar","seivrin","aspirin","morphine"
"ass","butt","busc","hts","ass","butt"
"astronaut","pilot","pinem","astrobilt","astronaut","pilot"
"at vise","ydeevne","snavevne","at vjons","show","performance"
"atomar","atomisk","gutmisk","mudmar","atomic","nuclear"
"auktion","salg","saea","meition","auction","sale"
"autograf","fotograf","fotoskud","autopert","autograph","photographer"
"avenue","gade","mænde","rynnue","avenue","street"
"baby","barn","banq","tilby","baby","child"
"badge","uniform","malform","aukge","badge","uniform"
"bakke","bjerg","zzerg","løgke","hill","mountain"
"balance","harmoni","harvous","balancestatsankla","balance","harmony"
"banan","jordbær","jorddad","bafly","banana","strawberry"
"bande","gruppe","skønpe","tride","gang","group"
"banking","finansiel","fisportsiel","baraing","banking","financial"
"bankmand","investor","inveraux","franmand","banker","investor"
"baron","grevinde","gregjorde","basti","baron","countess"
"basketball","fodbold","gerbold","basketlets","basketball","football"
"bedstefar","bedstemor","bedbilsmor","bedstetin","grandfather","grandmother"
"befolkning","mennesker","mennetisk","bestøbning","population","people"
"behandle","procedure","kelaccedure","beskytle","process","procedure"
"bekæmpe","kæmpe","hekpe","bestilpe","combat","fight"
"bekræftelse","bekræfte","beplette","besplittelse","confirmation","confirm"
"bekymret","nervøs","nervaz","betrosret","worried","nervous"
"bekymring","bekymre","besnurre","bekymster","concern","worry"
"belastning","last","lamy","betolkning","load","cargo"
"berømthed","stjerne","brandne","begrunhed","celebrity","star"
"beskrive","express","exprais","betaltve","describe","express"
"beskytte","forsvare","forholdre","beplante","protect","defend"
"bestikke","afpresse","afspærse","beligtke","bribe","blackmail"
"beton","stål","stdz","besvæ","concrete","steel"
"betyder","betydning","betydster","betypisk","meaning","importance"
"beundre","sætter pris på","sætter primitch","beunsens","admire","appreciate"
"bevæge sig","overførsel","fuldførsel","bevægepeños","move","transfer"
"bevare","opretholde","opretholdestruction","betjenre","preserve","maintain"
"beviser","bevis","beren","bevining","evidence","proof"
"bi","myre","dobre","ue","bee","ant"
"bibel","bestil","besets","bitio","bible","book"
"bibliotek","museum","museligt","biblioligst","library","museum"
"billede","foto","fobet","hjerlede","picture","photo"
"billet","pas","ess","terlet","ticket","passport"
"binde","binde","pepde","leode","bind","tie"
"biograf","teater","kængurustylteater","biobånd","cinema","theater"
"biskop","kardinal","kardiscip","bizhou","bishop","cardinal"
"bjørn","ulv","yav","bjien","bear","wolf"
"blind","døv","pav","leind","blind","deaf"
"bliv","forblive","forkvakve","bllg","stay","remain"
"blod","urin","mvin","blrk","blood","urine"
"blød","blid","bles","blim","soft","gentle"
"bogstaveligt talt","praktisk talt","praktiskclain","bogstaveligtkidéer","literally","practically"
"boks","taske","tatio","boso","box","bag"
"bombe","eksplosiv","eksplodell","pasbe","bomb","explosive"
"bonus","belønning","belønsomt","boons","bonus","reward"
"bord","stol","gaol","rard","table","chair"
"bravo","alfa","alkus","fervo","bravo","alpha"
"briller","kasket","kakort","sheller","glasses","cap"
"bro","tunnel","tunrum","meo","bridge","tunnel"
"brød","ost","unt","brob","bread","cheese"
"brudgom","brud","brft","blodåom","groom","bride"
"brun","blå","dså","foun","brown","blue"
"bruser","badeværelse","kredsløbsbadeværelse","sesser","shower","bathroom"
"brutal","grusom","digsom","brpkal","brutal","cruel"
"budget","funding","ridding","hemget","budget","funding"
"bugt","havn","haao","møgt","bay","harbor"
"burst","eksplodere","eksskraldere","buddt","burst","explode"
"busk","træ","keæ","buta","bush","tree"
"butik","butik","buham","buham","shop","store"
"bytte","predator","rigsdator","vrite","prey","predator"
"caesar","rom","ærm","cationar","caesar","rome"
"caliber","kugle","fryle","calistik","caliber","bullet"
"celle","fængsel","dingsel","lykle","cell","prison"
"cement","plast","aiast","ceders","cement","plastic"
"champion","fighter","fangter","shinpion","champion","fighter"
"chance","mulighed","muskelhed","prakce","chance","possibility"
"charme","skønhed","skønlit","presme","charm","beauty"
"chip","enhed","endor","chur","chip","device"
"cirkel","trekant","trering","rødkel","circle","triangle"
"civil","militær","milibold","ciart","civil","military"
"county","distrikt","distream","coundret","county","district"
"crowd","publikum","publireau","væowd","crowd","audience"
"daddy","mum","eim","mukdy","daddy","mum"
"dække over","skjule","makule","dækkebilee","cover","hide"
"daglige","ugentlig","brintlig","skillige","daily","weekly"
"danser","dans","wins","belser","dancer","dance"
"data","information","informavemus","komta","data","information"
"datter","søn","qen","initer","daughter","son"
"dekan","professor","profesrant","demio","dean","professor"
"delikat","følsom","følgel","deliansk","delicate","sensitive"
"dessert","kage","ninge","desbeau","dessert","cake"
"detonator","timer","tikan","detonatordenskjold","detonator","timer"
"diamant","juvel","jufri","diatøjs","diamond","jewel"
"diarré","kvalme","kropme","diartand","diarrhea","nausea"
"digter","forfatter","forpunkter","kerter","poet","writer"
"digusting","grim","grht","dibustion","digusting","ugly"
"direkte","direkte","digjorte","dikvante","direct","directly"
"direkte","overleve","trylleve","dikvante","live","survive"
"dna","fingeraftryk","fingeraflings","ova","dna","fingerprint"
"dobbelt","triple","tetsle","doblets","double","triple"
"død","forsvinden","formængden","udd","death","disappearance"
"dødelig","fatal","falos","døderens","deadly","fatal"
"dosis","indsprøjtning","indopkastning","dober","dose","injection"
"dråbe","nippe til","nippemeos","pavbe","drop","sip"
"drama","komedie","komebræn","renma","drama","comedy"
"dramatisk","romantisk","romandant","dramaskin","dramatic","romantic"
"drenge","piger","pital","hjælge","boys","girls"
"drikke","øl","nz","flytke","drink","beer"
"dronning","konge","indge","sortning","queen","king"
"drukne","svømme","smugme","skudne","drown","swim"
"dukke","legetøj","legerens","vamke","doll","toy"
"dvd","video","virah","ggd","dvd","video"
"dynasty","imperium","ustopperium","dynagua","dynasty","empire"
"dyr","dyr","xer","xer","beast","animal"
"dyrt","billig","værlig","wert","expensive","cheap"
"edderkop","insekt","inmegn","edderbind","spider","insect"
"efterår","falde sammen","falde saherds","efterfejl","fall","collapse"
"efterspørgsel","anmodning","anmodståe","eftersprøjtet","demand","request"
"egern","vaskebjørn","vaskebfrey","chern","squirrel","raccoon"
"ejendom","ejer","lger","ejenrat","property","owner"
"eksamensbevis","bestå","bebat","eksaskridtbevis","diploma","graduate"
"eksperiment","prøve","wilve","eksperistisk","experiment","test"
"ekspert","specialist","speciastand","eksbens","expert","specialist"
"ekstra","ekstra","eklars","ektrix","extra","additional"
"ekstremt","meget","metræ","eksprøjt","extremely","very"
"elendig","patetisk","patemand","gryndig","miserable","pathetic"
"eliminer","fjerne","elekne","atomminer","eliminate","remove"
"en","tre","gåe","sæ","one","three"
"ende","afslut","afsign","marde","end","finish"
"endelig","til sidst","tilmindst","enderens","finally","eventually"
"enestående","bemærkelsesværdig","bemærkelsesværdighedsnæg","eneståendestruction","exceptional","remarkable"
"engagement","bryllup","brylsam","engagestrøm","engagement","wedding"
"engel","djævel","wrevel","entos","angel","devil"
"engelsk","fransk","frande","enpepik","english","french"
"enhed","division","divicepo","endor","unit","division"
"enke","kvinde","krydde","værke","widow","woman"
"enkelt","gift","gimu","enchat","single","married"
"entusiasme","lidenskab","lidentisk","entusiasmeligstemp","enthusiasm","passion"
"erfaring","viden","visio","erfastan","experience","knowledge"
"erstatte","erstatning","erdronning","eradopte","replace","substitute"
"eskortere","ledsage","seksuge","espladstere","escort","accompany"
"etage","tæppe","clipe","imoge","floor","carpet"
"evig","for evigt","voidevigt","evar","eternal","forever"
"excellent","store","vilre","excelkarl","excellent","great"
"fabrik","produktion","produkster","fablad","factory","production"
"fælde","lokkemad","loksmand","tende","trap","bait"
"fænomenet","begivenhed","begivenskabs","fænomehjælp","phenomenon","event"
"faktor","element","livment","tæntor","factor","element"
"falsk","falsk","fabik","facak","fake","FALSE"
"fantasi","kreativitet","spionsativitet","hjemtasi","imagination","creativity"
"fase","periode","periodestruction","tikse","phase","period"
"fast","stærkt","stærek","erst","firmly","strongly"
"fattigdom","elendighed","injidighed","tromtigdom","poverty","misery"
"fattige","rig","pyg","skæftige","poor","rich"
"fejl","fejl","fesø","feba","error","mistake"
"fil","dokument","dokution","esl","file","document"
"filosofi","religion","relikelt","filosofiredoblet","philosophy","religion"
"final","ultimate","ultimateskabsløf","filis","final","ultimate"
"finansiere","investere","inveringsre","finansiereceptblok","finance","invest"
"finger","tommelfinger","tommelnitzel","torger","finger","thumb"
"firma","bureau","bugren","patma","firm","agency"
"fjende","modstander","modnyheder","hjørde","enemy","opponent"
"flåde-","flåde","hofde","hofde","naval","fleet"
"flag","symbol","symnez","flpy","flag","symbol"
"flertal","stemme","filmme","forvtal","majority","vote"
"flod","sø","uz","leod","river","lake"
"fløde","sovs","soyn","boyde","cream","sauce"
"flygte","flugt","flait","egypte","flee","escape"
"flygtning","flygtning","plantning","plantning","refugee","fugitive"
"foder","spise","kelse","fonop","feed","eat"
"føderale","stat","stro","fødesvindle","federal","state"
"fødsel","graviditet","standditet","kansel","birth","pregnancy"
"fokus","koncentrere","konstruktrere","foråd","focus","concentrate"
"følge efter","jage","spige","følge emodig","follow","chase"
"foran","bag-","ceg","blyan","front","rear"
"forår","efterår","eftertegn","vedår","spring","autumn"
"forbande","heks","hema","forskerde","curse","witch"
"forberedelse","planlægning","fejllægning","voldtægtsforberedelse","preparation","planning"
"forbudt","forbyde","hjembyde","forkørt","forbidden","prohibit"
"forekomme","ske","owe","foretægtsme","occur","happen"
"forening","bar","ior","foreskyt","club","bar"
"foreslå","antyder","antyrion","forehæng","propose","suggest"
"forfærdeligt","forfærdelig","forholdsdelig","forfærdestruk","terrible","horrible"
"forfatter","skuespiller","skueningsler","forpunkter","author","actor"
"forhindre","hold op","holdhip","forsøgsdre","prevent","stop"
"forhold","venskab","rigskab","forplig","relationship","friendship"
"forkert","korrekt","korseur","forkrøb","wrong","correct"
"forklaring","plausible","smilsible","forklagers","explanation","plausible"
"forlade","opgive","opmærkve","stellade","leave","abandon"
"form","skilt","skugt","fowl","form","sign"
"formål","hensigt","henstil","forlog","purpose","intention"
"fornærme","fornærme","forvandme","forvandme","insult","offend"
"fornøjelse","glæde","jetde","fornørumvæse","pleasure","joy"
"forskning","undersøgelse","unasylansøgelse","troldning","research","study"
"først","sidst","siaht","harst","first","last"
"fortjener","værdig","cendig","tertainer","deserve","worthy"
"fortsæt","blive ved","blivesaan","fortran","proceed","continue"
"forurening","stråling","sølvling","trykrening","contamination","radiation"
"fragment","stykke","osteke","drilment","fragment","piece"
"frekvens","signal","bennal","freloven","frequency","signal"
"fremskridt","udvikling","udviktors","fremstræbt","progress","development"
"fremtid","forbi","stabi","fremmei","future","past"
"frihed","demokrati","demobejdsti","herhed","freedom","democracy"
"frimærke","underskrift","underspændt","fritidske","stamp","signature"
"frisk","opdater","opdarisk","frark","fresh","refresh"
"frit","ledig","lenav","frpa","freely","free"
"frivillig","frivilligt","frivilster","frisketlig","volunteer","voluntarily"
"frø","firben","dræben","biø","frog","lizard"
"fyr","brormand","pravmand","eir","dude","bro"
"fysik","matematik","matemaskuli","fyjeg","physics","mathematics"
"gå ind","gå","kt","gåafnd","enter","go"
"gæstfrihed","taknemmelighed","sprængnemmelighed","trinfrihed","hospitality","gratitude"
"galleri","udstilling","udhandling","nordleri","gallery","exhibition"
"galskab","dumhed","bolhed","minskab","madness","stupidity"
"gambling","poker","portu","gamblødt","gambling","poker"
"gammel","ung","kæg","klomel","old","young"
"ganske enkelt","enkel","entøj","ganske epenål","simply","simple"
"garanti","løfte","væste","gakløgti","guarantee","promise"
"gas","brændstof","brændsets","iks","gas","fuel"
"gås","and","ded","sús","goose","duck"
"gendanne","hele","møble","genbjørne","recover","heal"
"generator","reaktor","voldtægtsofreaktor","generatordenskjold","generator","reactor"
"generel","oberst","læerst","geneborg","general","colonel"
"geni","videnskabsmand","videntroldmand","geley","genius","scientist"
"genkende","vidste","svaste","brikkende","recognize","knew"
"gevinst","vinde","helde","getains","gain","win"
"gidsel","fange","eksge","honsel","hostage","prisoner"
"gift","dræbe","bukbe","giud","poison","kill"
"give lov til","lade","tende","give loxbånd","allow","let"
"glas","flaske","pinske","tåas","glass","bottle"
"glemme","husk","humv","asymme","forget","remember"
"glorious","ære","cae","glocroft","glorious","glory"
"godt","dårligt","wasligt","andt","good","bad"
"golf","tennis","kurnis","kulf","golf","tennis"
"grav","kirkegård","kirkedans","grou","grave","cemetery"
"grave","begrave","besværve","hanve","dig","bury"
"grim","beskidte","beufatte","grær","nasty","filthy"
"grøn","orange","orbridge","gref","green","orange"
"grund","årsag","årrow","grird","reason","cause"
"grundlag","hovedkvarter","hovedsplitter","grundrys","base","headquarters"
"gud","guddommelig","strafdommelig","udd","god","divine"
"gunpowder","dynamite","dynamiteskabsløf","sladpowder","gunpowder","dynamite"
"guvernør","senator","senalist","guverough","governor","senator"
"gylden","sølv","sørr","simden","golden","silver"
"håber","tro","rco","håson","hope","faith"
"had","kærlighed","stillighed","xed","hate","love"
"hængende","udførelse","faldskærmsudførelse","blomgende","hanging","execution"
"hævn","retfærdighed","retholdtdighed","hæuk","revenge","justice"
"haj","fisk","fift","rij","shark","fish"
"hals","nakke","vreke","hayd","throat","neck"
"halvt","kvarter","svinter","hawkt","half","quarter"
"han-","kvinde","krydde","rin","male","female"
"hånd","arm","oom","kynd","hand","arm"
"håndbevægelse","handling","franling","garskibevægelse","gesture","act"
"hår","skæg","skåd","oor","hair","beard"
"hård","svært","svlot","rard","tough","hard"
"hav","ocean","gitan","urv","sea","ocean"
"hed","kold","kope","oyd","hot","cold"
"hej","farvel","farfri","rij","hello","bye"
"helt","frelseren","sponseren","molt","hero","savior"
"hemmelighed","mysterium","stemprium","strafmelighed","secret","mystery"
"her","der","pyr","rir","here","there"
"heritage","arve","arran","heritagesandwich","heritage","inherit"
"herre","dame","hemme","frire","lord","lady"
"herske","protokol","promodel","vanske","rule","protocol"
"himmel","himmelske","himgaræske","cremel","sky","heavenly"
"hindring","udfordring","udforfalsk","merdring","obstacle","challenge"
"hit","strejke","sprinke","påt","hit","strike"
"hjælp","hjælpe","sværpe","ieælp","help","assist"
"hjælpeløs","magtesløs","stortesløs","drenpeløs","helpless","powerless"
"hjelm","hat","ubt","hjröm","helmet","hat"
"hjerne","cerebral","cerectic","selvne","brain","cerebral"
"hjørne","gyde","sesde","sharne","corner","alley"
"hobby","sport","spidt","litby","hobby","sport"
"høflig","venlige","moralige","høvigt","polite","friendly"
"højre","venstre","venfald","grere","right","left"
"holde","holde","tande","brode","hold","keep"
"honning","smør","smok","spyning","honey","butter"
"hør efter","høre","banre","hør epañol","listen","hear"
"høring","forsøg","forban","høtion","hearing","trial"
"hormon","adrenalin","flugnalin","unimon","hormone","adrenaline"
"horn","fløjte","flnite","earn","horn","whistle"
"hospital","klinik","burnik","hospinens","hospital","clinic"
"hoste","feber","fefan","hones","cough","fever"
"hotel","motel","modan","honia","hotel","motel"
"hud","væv","thv","oid","skin","tissue"
"hund","kat","git","huet","dog","cat"
"hus","lejlighed","hvorlighed","ess","house","apartment"
"hvad","at","ue","etad","what","that"
"hvid","sort","sodo","etid","white","black"
"hvidløg","løg","ræg","hvidsee","garlic","onion"
"hvile","søvn","søzi","selle","rest","sleep"
"i dag","i går","mígår","dádag","today","yesterday"
"i forhold","fætter","gomter","hedorhold","relative","cousin"
"i live","død","ægd","i lbop","alive","dead"
"i morgen","morgen","frigen","mirorgen","tomorrow","morning"
"ide","teori","kængurustylteori","pue","idea","theory"
"ideal","perfekt","pergers","hypal","ideal","perfect"
"ikke noget","noget","nokon","ikke njmun","nothing","something"
"ild","flamme","gravme","ægd","fire","flame"
"illusion","hallucination","halinkarnation","illuanns","illusion","hallucination"
"imponerende","fantastiske","fantabilskske","imponerendestruction","impressive","amazing"
"indeholde","indhold","indkred","indeholdestruction","contain","content"
"indflydelse","effekt","efheim","indskrændelse","influence","effect"
"indre","eksternt","ekmannt","ining","internal","external"
"indrømme","indrømme","insektme","insektme","admit","confess"
"indsættes","sætte","tykte","indblantes","insert","put"
"indsamle","samle","colle","indkøbsle","collect","gather"
"indtryk","følelse","føgrænse","indflyt","impression","feeling"
"industri","forretning","forretsken","indumitt","industry","business"
"influenza","sygdom","gindom","instinkenza","flu","disease"
"ingeniør","arkitekt","arkinars","ingenistent","engineer","architect"
"inspektør","hr kommissær","hr kommictyl","inlufttør","inspector","commissioner"
"inspirere","inspiration","interretion","interrerere","inspire","inspiration"
"instinkt","intuition","intuifuldt","instreng","instinct","intuition"
"international","verden","priden","ingiovannational","international","world"
"internet","web","lib","infastnet","internet","web"
"invasion","angreb","anchef","invacuum","invasion","attack"
"ironi","ironisk","hørnisk","uløni","irony","ironic"
"jagt","fiskeri","fibrødri","jaio","hunting","fishing"
"jaloux","vred","heed","janold","jealous","angry"
"jazz","musik","mujeg","jadue","jazz","music"
"jeep","lastbil","lastsom","jeons","jeep","truck"
"jern","metal","merie","jeli","iron","metal"
"job","arbejde","arkvinde","påb","job","work"
"jord","flyve","banve","zard","land","fly"
"jordskælv","eksplosion","eksplotens","jordsezel","earthquake","explosion"
"journalistik","politik","polifest","journalirings","journalism","politics"
"jubilæum","fødselsdag","fødkampdag","jusileus","anniversary","birthday"
"jul","ferie","fetal","ndl","christmas","holiday"
"jungle","skov","skri","hjulle","jungle","forest"
"juni","juli","gali","krani","june","july"
"jurisdiktion","myndighed","rustdighed","preusdiktion","jurisdiction","authority"
"jurist","anklager","anspørger","adrist","lawyer","prosecutor"
"kabel","tråd","trsé","kasak","cable","wire"
"kabine","dæk","ulk","kaskerne","cabin","deck"
"kaldenavn","efternavn","efterfilm","kaldedret","nickname","surname"
"kalender","tidsplan","tidsgræn","kastreder","calendar","schedule"
"kamera","mikrofon","mikrobart","drømmera","camera","microphone"
"kampagne","valg","vatu","luksusne","campaign","election"
"kanal","nyheder","chetder","katen","channel","news"
"kandidat","voter","vonia","kandisisk","candidate","voter"
"kanel","vanille","vastejle","kalie","cinnamon","vanilla"
"kansler","formand","forsvin","kettler","chancellor","president"
"kaos","forvirring","forvirtuos","kaker","chaos","confusion"
"kapacitet","evne","dumne","kapacialsko","capacity","ability"
"kapital","city","ferty","kapinens","capital","city"
"kapsel","probe","fenbe","rolsel","capsule","probe"
"karakter","personlighed","pergejstlighed","kationter","character","personality"
"karneval","festival","festirow","frosneval","carnival","festival"
"karriere","omdømme","omkranme","hysteriere","career","reputation"
"kartoffel","tomat","toeur","kartofskib","potato","tomato"
"katolsk","kristen","medsten","kastows","catholic","christian"
"kavaleri","artilleri","arapostleri","festivaleri","cavalry","artillery"
"kejserlig","kejser","hasser","kejmøstlig","imperial","emperor"
"kemi","biologi","bioristsgi","kemilieportræt","chemistry","biology"
"kemisk","biologisk","biolokraft","kemand","chemical","biological"
"ketchup","mayonnaise","mayonsplejse","ketsque","ketchup","mayonnaise"
"kidnappe","bortføre","stemføre","grupnappe","kidnap","abduct"
"kidnapper","løsepenge","løsemarysge","sovenapper","kidnapper","ransom"
"kilde","informant","inforcorp","topde","source","informant"
"kilo","gram","riam","kikes","kilo","gram"
"kilometer","måler","mådig","kilomenings","kilometer","meter"
"kirke","kapel","katro","madke","church","chapel"
"kirurg","læge","sikge","kiborg","surgeon","doctor"
"kiste","begravelse","betjentvelse","kines","coffin","funeral"
"klæde","lommetørklæde","lommelavvande","raide","cloth","handkerchief"
"klage","anklage","andrenge","cenge","complaint","accusation"
"klan","familie","famiters","svan","clan","family"
"klart","naturligvis","naturnuslævis","neart","clearly","obviously"
"klasse","skole","manle","øjense","class","school"
"klatre","hoppe","snope","klagør","climb","jump"
"klaver","guitar","guilets","værver","piano","guitar"
"klippe","sten-","maen","skulpe","rock","stone"
"knap","trykke","skruke","knkt","button","press"
"knogle","kranium","bikinium","græsle","bone","skull"
"ko","svin","woin","ue","cow","pig"
"købe","sælge","fenge","terbe","buy","sell"
"kode","adgangskode","adkomstkode","nende","code","password"
"kokain","heroin","saltoin","koenan","cocaine","heroin"
"kollega","ven","oon","strålega","colleague","friend"
"kollegium","universitet","stjerversitet","brandlegium","college","university"
"koloni","føderation","føderaments","kobikini","colony","federation"
"kombination","blanding","skamding","kombinaforth","combination","mixture"
"komfortabel","behagelig","behagetrans","kommercibel","comfortable","pleasant"
"kommando","bestille","befolkle","kompseudo","command","order"
"kommandør","kaptajn","hvortajn","kommanfisk","commander","captain"
"kommentar","udmelding","udmelhold","kommennets","comment","statement"
"kommerciel","købmand","geomand","komsensuel","commercial","merchant"
"kompas","kort","kozl","komrio","compass","map"
"kompliment","gave","galig","komplisted","compliment","gift"
"koncept","definition","definikansk","kongern","concept","definition"
"konference","møde","belde","konferencestatsankla","conference","meeting"
"konflikt","bestride","begrende","konpling","conflict","dispute"
"konklusion","antagelse","antalingsse","konklutens","conclusion","assumption"
"konkurrence","mesterskab","mestertisk","konkurrencestatsankla","competition","championship"
"konservativt","liberal","libesque","konservanowen","conservative","liberal"
"konstruktion","build","buchu","konstrukster","construction","build"
"kontakt","forbindelse","forsvarsdelse","konvægt","contact","connection"
"kontanter","penge","modge","konkræfter","cash","money"
"kontrakt","aftale","afslutle","konstalt","contract","agreement"
"kontrollere","verificere","verificereceptblok","konlingslere","check","verify"
"kop","kaffe","amefe","ipp","cup","coffee"
"køre","ride","imøde","misre","drive","ride"
"køretøj","bil","irl","kørehand","vehicle","car"
"korn","mel","ool","kobs","grain","flour"
"kort","lang","lati","koto","short","long"
"kradse","blåt mærke","blåt mædalsk","pludse","scratch","bruise"
"kredit","lån","xen","psydit","credit","loan"
"krig","kamp","kapo","akig","war","battle"
"kritisk","politisk","polivets","medtisk","critical","political"
"krone","trone","sønne","panne","crown","throne"
"kul","olie","chie","gol","coal","oil"
"kulstof","hydrogen","hyklingen","hårstof","carbon","hydrogen"
"kultur","civilisation","civilisadowski","småtur","culture","civilization"
"kunst","litteratur","evakuteratur","jonst","art","literature"
"kunstner","maler","mache","grundner","artist","painter"
"kuvert","pakke","værke","kukurv","envelope","package"
"kylling","kalkun","kalfia","bluling","chicken","turkey"
"kys","kram","bcam","sús","kiss","hug"
"læbe","kind","cond","sorbe","lip","cheek"
"læbestift","parfume","fremfume","læbesesal","lipstick","perfume"
"lænke","reb","asb","møgke","chain","rope"
"lære","underviser","unningsviser","stare","learn","teach"
"læs","skrive","brylve","wis","read","write"
"læsning","skrivning","schifning","fløning","reading","writing"
"lag","overflade","vandflade","pyg","layer","surface"
"lampe","lys","gts","krape","lamp","candle"
"land","nation","naster","laro","country","nation"
"landing","flyvningen","theoningen","lanmænd","landing","flight"
"landmand","arbejder","arsladder","lidsmand","farmer","worker"
"langsom","hurtig","væltig","langnie","slow","fast"
"langsomt","hurtigt","dretigt","findsomt","slowly","quickly"
"lasagne","spaghetti","spastanti","lavundne","lasagna","spaghetti"
"låst","lukket","cosket","eust","locked","closed"
"latterlig","absurd","abkvæd","filmterlig","ridiculous","absurd"
"lav","høj","prj","urv","low","high"
"lave","do","ue","volve","make","do"
"lave om","forbedring","forbedford","laferon","change","improvement"
"laver mad","kok","ulk","laverveza","cook","chef"
"league","hold","howi","lestie","league","team"
"ledelse","administrative","administrativelasquez","lemandse","management","administrative"
"legeme","lig","æng","leskamme","body","corpse"
"legion","army","arren","levidt","legion","army"
"leje","leje","letor","letor","hire","rent"
