"el_cue","el_target","el_fake_target","el_fake_cue","en_cue","en_target"
"dvd","βίντεο","βίντόκ","nέd","dvd","video"
"ninja","σαμουράι","σαμοεμάι","smija","ninja","samurai"
"ufo","εξωγήινο","εξωγκόνο","nοo","ufo","alien"
"άβολος","δυσάρεστος","δυσάτέστος","keολος","uncomfortable","unpleasant"
"άγγελος","διάβολος","διάβολαμ","άγουλος","angel","devil"
"αγγλικά","γαλλική γλώσσα","γαλλικακγλώσσα","αγγλυτά","english","french"
"αγελάδα","χοίρος","χοφλος","αγελήςα","cow","pig"
"αγια γραφη","βιβλίο","βιυρίο","τσια γραφη","bible","book"
"άγκυρα","πανι πλοιου","πανιχίλοιου","ξυκυρα","anchor","sail"
"άγνοια","αλαζονεία","ιραζονεία","ύπνοια","ignorance","arrogance"
"αγόγγια","κορίτσια","κορίτσαμ","αγχόγια","boys","girls"
"αγορά","πουλώ","πολιώ","αγαλά","buy","sell"
"αγρότης","εργάτης","ερλύτης","περότης","farmer","worker"
"άδεια","εγκαταλείπω","εγκαταφέίπω","οξεια","leave","abandon"
"άδεια","έγκριση","έγπειση","οξεια","permission","approval"
"αδειάζω","γεμάτος","γεμάνις","αδιράζω","empty","full"
"αδελφή","αδελφός","αδελασς","αδελαϊ","sister","brother"
"αδικία","άδικος","faικος","αδικερ","injustice","unfair"
"αδυναμία","ανίκανος","αντήανος","αδυνηρία","inability","unable"
"αδύνατο","ανετα","ανίλα","αδώτατο","impossible","easy"
"αέρας","οξυγόνο","οξανόνο","οθρας","air","oxygen"
"αέριο","καύσιμα","καύστία","erριο","gas","fuel"
"άθλιος","αξιολύπητο","αξιουλπητο","naλιος","miserable","pathetic"
"άθροισμα","ποσό","πομέ","άθροάτμα","sum","amount"
"αθώος","ένοχος","ένάνος","αθεις","innocent","guilty"
"αίμα","ούρο","όλρο","οφμα","blood","urine"
"αισθητήρας","πομπός","πομπάξ","κυσθητήρας","sensor","transmitter"
"αισιόδοξος","ρεαλιστικός","επαλιστικός","αισιόδωρος","optimistic","realistic"
"αιώνας","δεκαετία","δεέμετία","στώνας","century","decade"
"αιώνιος","για πάντα","γιωνπάντα","αιόμιος","eternal","forever"
"ακολουθηστε","κυνηγητό","κυνημπτό","ακολουοαστε","follow","chase"
"ακούω","ακούω","ακωνω","ακσχω","listen","hear"
"ακριβός","φτηνός","φτμπός","ακρισπς","expensive","cheap"
"ακρόαση","δοκιμή","δοκιτά","ακοήαση","hearing","trial"
"ακτίνα κύκλου","περίμετρος","περίνγτρος","ακτίναζέύκλου","radius","perimeter"
"αλεπού","κουνέλι","κουνάςι","αλλίού","fox","rabbit"
"αληθησ","πραγματικός","προχματικός","αληθhu","TRUE","real"
"αλκοόλ","φάρμακο","φάυλακο","αλκοβή","alcohol","drug"
"αλλαγή","βελτίωση","βεγείωση","αλλαπε","change","improvement"
"αλλού-κάπου αλλού","κάπου","τσπου","αλλούκάποίναλλού","elsewhere","somewhere"
"άλμπουμ","τραγούδι","τραγούσο","νόμπουμ","album","song"
"αλυσίδα","σκοινί","σκκανί","αλωτίδα","chain","rope"
"αμαρτία","έγκλημα","τίκλημα","αμαρκέα","sin","crime"
"αμφιβολία","ύποπτος","ύποπίας","αμφιζαλία","doubt","suspect"
"αναγνωρίζω","γνώριζα","γνάσιζα","αναγχαρίζω","recognize","knew"
"αναγνωση","γραφή","γρομή","αναγταση","reading","writing"
"ανάγνωση","γράφω","γρύγω","ανοηνωση","read","write"
"αναζήτηση","εύρημα","σόρημα","αναζέρηση","search","find"
"αναλυτής","ανακριτής","ανακρινές","αναλμαής","analyst","investigator"
"αναρρίχηση","άλμα","θήμα","αναρρίώτση","climb","jump"
"αναρρώνω","θεραπεύω","θεραπεγχ","αναρτηνω","recover","heal"
"αναρχία","καπιταλισμός","καταταλισμός","αναραζα","anarchy","capitalism"
"ανατομία","ψυχολογία","ψυχολουσα","αναταφία","anatomy","psychology"
"άνδρας","ο άνθρωπος","cβάνθρωπος","άνλέας","man","human"
"άνεμος","καταιγίδα","καταιγισα","ναεμος","wind","storm"
"άνετος","ευχάριστος","ευημριστος","άνιρος","comfortable","pleasant"
"ανήμπορος","ανίσχυρος","ανίσετρος","ανξεπορος","helpless","powerless"
"ανησυχία","ανησυχία","ανδρυχία","ανησυχισ","concern","worry"
"ανήσυχος","νευρικός","βιυρικός","ανίζυχος","worried","nervous"
"άνθρακας","υδρογόνο","υδροεθνο","άνθρακωθ","carbon","hydrogen"
"ανόητος","βλάκας","βλάκλι","ανειτος","fool","idiot"
"άνοιγμα","κλείσιμο","κλμτσιμο","ομοιγμα","opening","closure"
"άνοιξε","κλείσε","κλδύσε","άννάξε","open","close"
"άνοιξη","φθινόπωρο","φθεκόπωρο","άνναξη","spring","autumn"
"ανταγωνισμός","πρωτάθλημα","πρωτμόλημα","αντανονισμός","competition","championship"
"αντανάκλαση","καθρέφτης","καυπέφτης","ανταρεκλαση","reflection","mirror"
"αντίδοτο","εμβόλιο","εμγέλιο","αντίφάτο","antidote","vaccine"
"αντικαθιστώ","υποκατάστατο","υποκατάσταιρ","αντικαλυστώ","replace","substitute"
"αντικείμενο","θέμα","υμμα","αντικείμασο","object","subject"
"αντίσταση","αντιστέκομαι","αντιστέκιααι","ανεισταση","resistance","resist"
"αντλία","μάνικα","μάάγκα","ανμπία","pump","hose"
"ανώνυμος","άγνωστος","άγείστος","ανώνρτος","anonymous","unknown"
"αξία","τιμή","τιακ","αξιώ","value","price"
"αξίζω","άξιος","υφιος","πνίζω","deserve","worthy"
"απαγορευμένος","απαγορεύω","απαγοριαω","απαγοράζμένος","forbidden","prohibit"
"απαγωγέας","λύτρα","ψατρα","απαγδρέας","kidnapper","ransom"
"απαγωγή","απάγω","απιοω","απαγοφή","kidnap","abduct"
"απάντηση","απάντηση","απαρτηση","απζήτηση","answer","reply"
"απαραίτητη","χρειάζομαι","χρεισβομαι","απαρνιτητη","necessary","need"
"απεναντι απο","αντίθετος","ανληθετος","απεναντιtίπο","opposite","contrary"
"απευθείας","κατευθείαν","κατευθείvο","απευοβίας","direct","directly"
"απλά","απλός","απόπς","απόβ","simply","simple"
"απόβλητα","δαπανούν","δασενούν","απόβλησπ","waste","spend"
"απόδειξη","απόδειξη","απόδειγμ","απόδαυξη","evidence","proof"
"αποικία","ομοσπονδία","ομοσποληία","απότκία","colony","federation"
"αποκάλυψη","όραμα","όρδοα","αποκρουψη","revelation","vision"
"απολύτως","εντελώς","εντεμας","απολύτρε","absolutely","completely"
"απομίμηση","ψευδησ","ψευδhi","απομυρηση","fake","FALSE"
"απόσταση","ταχύτητα","ταόπτητα","απυόταση","distance","speed"
"αποτέλεσμα","αποτέλεσμα","αποτημεσμα","αποτέλιδμα","result","outcome"
"αποτρέψει","να σταματήσει","ναυιταματήσει","αποτωθψει","prevent","stop"
"αράχνη","έντομο","ζητομο","αρρόνη","spider","insect"
"αργά","νωρίς","guρίς","αρόρ","late","early"
"αργά","γρήγορα","γρατορα","αρόρ","slowly","quickly"
"αργός","γρήγορα","γρατορα","αρνής","slow","fast"
"αργόσχολος","περιοδικό","περιάσικό","αργόσχημος","playboy","magazine"
"αρένα","πεδίο μάχης","πεδίο μάιος","υβένα","arena","battlefield"
"άρης","αφροδίτη","αφρολατη","άρετ","mars","venus"
"άρθρο","εφημερίδα","εφημερωσα","άρηλο","article","newspaper"
"αριθμός","διεύθυνση","διάτθυνση","αριθεσς","number","address"
"αρκετά","επαρκής","επαρτύς","αρχατά","enough","sufficient"
"αρκετά","πανεμορφη","πανεμοάλη","αρχατά","pretty","beautiful"
"αρκούδα","λύκος","λύχρς","αρκοιvα","bear","wolf"
"αρνηθεί","αποδέχομαι","αποδεζομαι","αρραθεί","refuse","accept"
"αρπάζω","σύλληψη","σύρεηψη","αρπάιπ","grab","catch"
"αρσενικός","θηλυκός","θηλυτές","αρφωνικός","male","female"
"αρχαιότερος","κατώτερος","καράτερος","αρχαρμτερος","senior","junior"
"αρχείο","έγγραφο","έγιvαφο","αρχεκη","file","document"
"άρχοντας","κυρία","κυτια","άρντντας","lord","lady"
"ασθενοφόρο","ελικόπτερο","ινικόπτερο","ασέλνοφόρο","ambulance","helicopter"
"ασπίδα","πανοπλία","πανοπλάι","αστεδα","shield","armor"
"ασπιρίνη","μορφίνη","μοοξίνη","ασπιρίζα","aspirin","morphine"
"αστραπή","βροντή","βριητή","αστρυδή","lightning","thunder"
"αστροναύτης","πιλότος","πιαρτος","αστρονόητης","astronaut","pilot"
"ασυνήθης","παράξενος","παράρώνος","ασυνεξης","unusual","strange"
"ασφάλεια","ασφάλεια","ασφάήρια","ασφάήρια","security","safety"
"ασφαλής","ασφαλής","ασφαίνς","ασφαπος","safe","secure"
"ατομικός","πυρηνικός","πυμονικός","ατομονός","atomic","nuclear"
"ατυχής","ατυχία","ατέλία","ατέλής","unfortunate","misfortune"
"αυξάνουν","περιορίζω","περιορούω","αυήινουν","increase","reduce"
"αύριο","πρωί","πρρv","ρόριο","tomorrow","morning"
"αυτόγραφο","φωτογράφος","φωτογρντος","αυτόσηαφο","autograph","photographer"
"αυτοκρατορικός","αυτοκράτορας","αυτοκράτορευ","αυτοκρατιτικός","imperial","emperor"
"αυτοκτονία","δολοφονία","δολοαρνία","αυτοκτχεία","suicide","murder"
"αυτοψία","ανάλυση","ανχουση","αυτουφα","autopsy","analysis"
"αφελής","χαζος","χαλως","αφελάχ","naïve","stupid"
"αφελής","κυνικός","μενικός","αφελάχ","naive","cynical"
"άφιξη","αναχώρηση","αναχρηηση","joιξη","arrival","departure"
"αφοσίωση","τιμιότητα","τιτίότητα","αφοσλήση","loyalty","honesty"
"αφρική","αμερική","αμκτική","μυρική","africa","america"
"άχρηστος","άνευ αξίας","άνευαιξίας","άχουστος","useless","worthless"
"βαζω τιμωρια","σύλληψη","σύρεηψη","βανά τιμωρια","punish","arrest"
"βαλβίδα","εξαερισμός","εξέθρισμός","βαιοίδα","valve","ventilation"
"βάρος","ύψος","γχος","αύρος","weight","height"
"βαρύς","βαριά","έκριά","βαέος","heavy","heavily"
"βαρώνος","κόμισσα","κόμινχα","βανανος","baron","countess"
"βασανιστήριο","βασανιστήριο","βατάνιστήριο","βαεθνιστήριο","torment","torture"
"βάση","κεντρικά γραφεία","κεντρικάαοραφεία","ξηση","base","headquarters"
"βάσιγκτων","βοστώνος","βοστρεος","βάσιέςτων","washington","boston"
"βασιλικός","βασίλειο","βαελλειο","βασιμοκός","royal","kingdom"
"βασίλισσα","βασιλιάς","βασιλιππ","βαυαλισσα","queen","king"
"βάτραχος","σαύρα","ιούρα","ίντραχος","frog","lizard"
"βελόνα","σύριγγα","σύριοία","βεζάνα","needle","syringe"
"βήχας","πυρετός","πυρεψος","βήγoς","cough","fever"
"βιβλιοθήκη","μουσείο","μουσιώο","βιβλιοκέκη","library","museum"
"βιομηχανία","επιχείρηση","επιχτηρηση","βιομηχανεμ","industry","business"
"βλέπω","συναντώ","συναηγώ","βλύψω","see","meet"
"βοήθεια","βοηθώ","φαηθώ","βοχνεια","help","assist"
"βοηθός","ιό","θί","βοιχός","aids","hiv"
"βολή","βλαστός","maαστός","βοξα","shot","shoot"
"βόμβα","εκρηκτικός","εκρηθεικός","βόζία","bomb","explosive"
"βραδινό","πρωινο γευμα","πρωινοάπευμα","βρλαινό","dinner","breakfast"
"βράχος","πέτρα","πέσία","βράχτε","rock","stone"
"βροχή","χιόνι","χιμπι","βρωτή","rain","snow"
"βρυκόλακας","βρυκόλακας","βρυκξιακας","βρόχόλακας","zombie","vampire"
"βρώμικος","αηδιαστικός","juδιαστικός","βρμάικος","dirty","disgusting"
"γαβάθα","πλάκα","πλαια","γαϊτθα","bowl","plate"
"γάιδαρος","άλογο","λόογο","γάιδαρνή","donkey","horse"
"γάιδαρος","βαρέλι","τερέλι","γάιδαρνή","ass","butt"
"γάλα","χυμός","χυσες","υέλα","milk","juice"
"γαμπρός","νυφη","νυχθ","τάμπρός","groom","bride"
"γελοίος","παράλογος","παράμπγος","γελοφυς","ridiculous","absurd"
"γενικός","συνταγματάρχης","συνταγματάάρης","νονικός","general","colonel"
"γέννηση","εγκυμοσύνη","εγκυμοπονη","ψεννηση","birth","pregnancy"
"γεννήτρια","αντιδραστήρας","αντιδρασντρας","γεοφήτρια","generator","reactor"
"γεύση","μυρωδιά","μυγάδιά","γεόλη","taste","smell"
"γευστικός","νόστιμο","χάστιμο","πουστικός","tasty","delicious"
"γέφυρα","σήραγγα","μύραγγα","ινφυρα","bridge","tunnel"
"γη","πετώ","πεως","θλ","land","fly"
"γιόγκα","μασάζ","μακαζ","γιτόκα","yoga","massage"
"γκολφ","τένις","εσνις","οπολφ","golf","tennis"
"γλυκός","χαριτωμένος","χαριγημένος","βάυκός","sweet","cute"
"γνώμη","στάση","στύνη","γναρη","opinion","attitude"
"γοητεία","ομορφιά","ομορβγά","γοιχεία","charm","beauty"
"γραμματέας","βοηθός","βοηθαε","γραμμαύζας","secretary","assistant"
"γρατσουνιά","μώλωπας","μώοιπας","γρλίσουνιά","scratch","bruise"
"γραφείο","γραφείο","γρελείο","γραφαιο","desk","office"
"γρίπη","νόσος","λέσος","γρλψη","flu","disease"
"γυαλιά","καπάκι","καιvκι","γυαλύπ","glasses","cap"
"γυμνός","γυμνός","γυλλός","γυφλός","nude","naked"
"γωνία","δρομάκι","δρομοδι","χήνία","corner","alley"
"δαχτυλίδι","κολιέ","κουόέ","δαχτιγίδι","ring","necklace"
"δάχτυλο","αντίχειρας","αντίχεάδας","reχτυλο","finger","thumb"
"δεδομένα","πληροφορίες","πληροφορμης","γοδομένα","data","information"
"δένω","γραβάτα","γραβρμα","γγνω","bind","tie"
"δεξαμενή","κινητήρας","κιρωτήρας","δεξαμερλ","tank","engine"
"δέρμα","ιστός","ισγος","δέυλα","skin","tissue"
"δευτέρα","τρίτη","τρανη","δευταλα","monday","tuesday"
"δευτερεύων","πρωταρχικός","πρωταρχισας","δευτερψεων","secondary","primary"
"δεύτερος","λεπτό","λεσκό","δελφερος","second","minute"
"δηλητήριο","σκοτώνω","σκοτροω","κιλητήριο","poison","kill"
"δημιουργία","καταστροφή","καταστρούς","δημιουοψία","creation","destruction"
"δημιουργώ","παράγω","παράνέ","δημιουοτώ","create","produce"
"δημοπρασία","πώληση","unληση","δημοραασία","auction","sale"
"δημοσιογραφία","πολιτική","πουλτική","δημολλογραφία","journalism","politics"
"δημοσιογράφος","δημοσιογράφος","δημοσιογράντς","δημοσιογταφος","reporter","journalist"
"δημοφιλής","διάσημος","διάσολος","δημοφιπος","popular","famous"
"διαγράμματος","άσχημος","φέχημος","διφοράμματος","digusting","ugly"
"διαδίκτυο","ιστός","ισγος","διαδίκμφο","internet","web"
"διαδρομή","μονοπάτι","μονογκτι","διαδρουτ","route","path"
"διαζύγιο","γάμος","σίμος","δικέύγιο","divorce","marriage"
"διακοπή","ενοχλεί","ενοχημί","διινοπή","interrupt","disturb"
"διαμάντι","κόσμημα","κόσμήνα","διαμεστι","diamond","jewel"
"διαμαρτυρία","επίδειξη","εππλειξη","διαμαρμπρία","protest","demonstration"
"διαμέτρημα","σφαίρα","νιαίρα","διαμούρημα","caliber","bullet"
"διαμονή","παραμένει","παρακανει","διάφονή","stay","remain"
"διανοητικός","συναισθηματική","συναμπθηματική","διανάρτικός","mental","emotional"
"διάρροια","ναυτία","ναυτοτ","διάρροσύ","diarrhea","nausea"
"διασημότητα","αστέρι","αστέντ","διασχίότητα","celebrity","star"
"διάσκεψη","συνάντηση","συνάάφηση","διπηκεψη","conference","meeting"
"διάσωση","αποθηκεύσετε","αποθοχεύσετε","δικεωση","rescue","save"
"διατηρώ","διατηρούν","διατπιούν","διατεύώ","preserve","maintain"
"διαφήμιση","εμπορία","εμπούσα","διαφελιση","advertising","marketing"
"διαχειρίζονται","πετυχαίνω","πετυχαμέω","διογειρίζονται","manage","succeed"
"διαχείριση","κυβέρνηση","αιβέρνηση","διαχχεριση","administration","government"
"διαχείριση","διοικητικός","διστκητικός","διαχχεριση","management","administrative"
"διεθνές","κόσμος","κόύλος","διωινές","international","world"
"διευθυντής","αφεντικό","υμεντικό","διευθυνταπ","manager","boss"
"δικαιοδοσία","εξουσία","εξουάρα","δικαιοφυσία","jurisdiction","authority"
"δικαστήριο","δικαστής","δικατηής","δικατηήριο","court","judge"
"δικηγόρος","κατήγορος","καραγορος","δικηαίρος","lawyer","prosecutor"
"δίκτυο","σύστημα","νώστημα","δίκτφω","network","system"
"διοικητής","καπετάνιος","καπετάρδος","διοικηγος","commander","captain"
"διορθώσετε","επισκευή","επισκελλ","διορρόσετε","fix","repair"
"διπλό","τριπλούς","τριπλοκά","διωγό","double","triple"
"δίπλωμα","αποφοιτώ","αποφοιπό","άμπλωμα","diploma","graduate"
"δισκίο","χάπι","χάμσ","διώνίο","tablet","pill"
"δόση","ένεση","ένναη","σλση","dose","injection"
"δουλειά","δουλειά","δολθειά","δοεψειά","job","work"
"δούλος","υπηρέτης","υπηρέτοι","δοαιος","slave","servant"
"δράκων","λιοντάρι","λιγότάρι","γνάκων","dragon","lion"
"δράμα","κωμωδία","κωνόδία","ενάμα","drama","comedy"
"δραματικός","ρομαντικός","ρομαντικού","δραματικού","dramatic","romantic"
"δρόμος","αυτοκινητόδρομος","αυτοκινητόδρρχος","γνόμος","road","highway"
"δύναμη","δύναμη","ίωναμη","δύνακε","strength","force"
"δυναστεία","αυτοκρατορία","αυτοκρατορού","δυκοστεία","dynasty","empire"
"δυνητικός","ταλέντο","ταβλντο","δυσάτικός","potential","talent"
"δύο","τέσσερις","τέσσερμπ","κσο","two","four"
"δυσάρεστος","ακάθαρτος","ακρίαρτος","δυσάουστος","nasty","filthy"
"δυτικά","ανατολή","ανατροή","ηκτικά","west","east"
"δωμάτιο","υπνοδωμάτιο","υπνοχημάτιο","δωμάαλο","room","bedroom"
"δώρο","ανταμοιβή","ανταμοωχή","ψήρο","bonus","reward"
"δωροδοκία","εκβιασμός","εκβιασιος","γχροδοκία","bribe","blackmail"
"δώσει το έναυσμα για","θέτω εις ενέργειαν","θέτω ειςτονέργειαν","δώσει το έναυσμαερια","trigger","activate"
"εγγονός","ανιψιός","αναξιός","εγνωνός","grandson","nephew"
"εγγύηση","υπόσχεση","υποφχεση","εγπτηση","guarantee","promise"
"εγκέφαλος","εγκεφαλικός","εγγυφαλικός","εγωιφαλος","brain","cerebral"
"εγώ θα","άρρωστος","θέρωστος","εγιόθα","ill","sick"
"εδώ","εκεί","οιεί","ωπώ","here","there"
"εθελοντής","οικειοθελώς","οικειοθείσς","εθελονέμς","volunteer","voluntarily"
"εθνικός","παγκόσμια","παγκδομια","saνικός","national","global"
"ειδικός","μοναδικός","μονατόκός","τοδικός","special","unique"
"εικόνα","φωτογραφία","φωτογρλεία","ειγίνα","picture","photo"
"ειρηνικός","ατλαντικός","κόλαντικός","τορηνικός","pacific","atlantic"
"ειρωνεία","ειρωνικός","ειρωπίκός","ειλύνεία","irony","ironic"
"εισάγετε","βάζω","βάγκ","ειτογετε","insert","put"
"εισαγω","πηγαίνω","μίγαίνω","εισαλώ","enter","go"
"εισβολή","επίθεση","ατίθεση","ειντολή","invasion","attack"
"εισιτήριο","διαβατήριο","διαβατίζιο","εισικαριο","ticket","passport"
"εκατομμύριο","δισεκατομμύριο","δισεκατοσεύριο","εκατομηρριο","million","billion"
"εκατομμυριούχος","επιχειρηματίας","επιχειοιματίας","εκατομήτριούχος","millionaire","entrepreneur"
"εκδίκηση","δικαιοσύνη","δικαλύσύνη","εκθήκηση","revenge","justice"
"έκθεση","λογικός","λογισμς","ηφθεση","fair","reasonable"
"εκθεσιακός χώρος","έκθεση","ριθεση","εκθενήακός χώρος","gallery","exhibition"
"εκκλησία","παρεκκλήσι","παρεκκωτσι","εκκλτεία","church","chapel"
"εκπληκτικός","φανταστικός","βονταστικός","εκπλδυτικός","wonderful","fantastic"
"έκπληξη","απογοήτευση","απογνότευση","έκπλάλη","surprise","disappointment"
"έκρηξη","εκραγεί","εκφυγεί","ουρηξη","burst","explode"
"ελάχιστο","το πολύ","τοβίολύ","εληθιστο","minimum","maximum"
"έλεγχος","επαληθεύω","κκαληθεύω","μυεγχος","check","verify"
"έλεγχος","χειραγωγώ","χειραγοπώ","μυεγχος","control","manipulate"
"ελευθερία","δημοκρατία","κιμοκρατία","ελευδωρία","freedom","democracy"
"ελευθερώς","ελεύθερος","ελεύαιρος","ελευθείτς","freely","free"
"ελκυστικός","γοητευτικός","ινητευτικός","ελπάστικός","attractive","charming"
"ελπίδα","πίστη","οπστη","ελικδα","hope","faith"
"εμπειρία","η γνώση","οςγνώση","εμπεολία","experience","knowledge"
"εμπειρογνώμονας","ειδικός","τοδικός","εμπειρογόρμονας","expert","specialist"
"εμπιστοσύνη","πιστεύω","πιστατω","εμπιστοσάση","trust","believe"
"εμπνέω","έμπνευση","έμβοευση","εμπνίφ","inspire","inspiration"
"εμπόδιο","πρόκληση","πρόκληθε","εμπόητο","obstacle","challenge"
"εμπορικός","έμπορος","έμπουςς","εμποριορς","commercial","merchant"
"εμπρός","όπισθεν","μμισθεν","εμηγός","front","rear"
"εμφύλιος","στρατός","στραυνς","εμπέλιος","civil","military"
"ένας","τρία","τρέν","ομας","one","three"
"ένδοξος","δόξα","σλξα","ένδοΐας","glorious","glory"
"ενεργός","δραστηριότητα","γναστηριότητα","ενερέβς","active","activity"
"ενήλικας","μητρική εταιρεία","μησεική εταιρεία","ενώσικας","adult","parent"
"ενθουσιασμός","πάθος","πάμές","ενθουσιασμεί","enthusiasm","passion"
"ενίοτε","σπανίως","κμανίως","ενόύτε","occasionally","rarely"
"έννοια","ορισμός","ορισιος","ύπνοια","concept","definition"
"έννοια","σημασια","σημαυτα","ύπνοια","meaning","importance"
"ενοικίαση","ενοίκιο","ενεκκιο","ενοιτραση","hire","rent"
"ενοικιαστής","σπιτονοικοκύρης","σπιτοναςκοκύρης","ενοικινςτής","tenant","landlord"
"ενότητα","παράγραφος","παράλφαφος","ενηςητα","section","paragraph"
"ένστικτο","διαίσθηση","διέγσθηση","ένστρετο","instinct","intuition"
"εντάξει","ναι","γοι","ενουξει","okay","yeah"
"εντολή","σειρά","σεηνά","εντουσ","command","order"
"εντύπωση","συναισθημα","συναισευμα","ενώθπωση","impression","feeling"
"εντυπωσιακο","φοβερο","φοαδρο","εντυπωσιβιο","impressive","amazing"
"εντυπωσιακός","θεαματικός","θειάατικός","εντυπωσιακάτ","sensational","spectacular"
"εξαιρετικός","αξιοσημείωτος","αξιοσημεαύτος","εξομρετικός","exceptional","remarkable"
"εξαλείφω","αφαιρώ","αφαιχή","εξαλείοή","eliminate","remove"
"εξέλιξη","μετάλλαξη","μενελλαξη","οσέλιξη","evolution","mutation"
"εξετάζω","ερευνώ","ερευγμ","εξβγάζω","examine","investigate"
"εξέταση","επιθεώρηση","επιθέσρηση","ηρέταση","examination","inspection"
"εξήγηση","εύλογος","άρλογος","εξάνηση","explanation","plausible"
"έξοδος","είσοδος","είεςδος","ρυοδος","exit","entrance"
"εξοπλισμός","εξοπλίζω","εξοπλίσα","ιροπλισμός","equipment","equip"
"εξουσία","ενέργεια","ενέρθηια","εξουάρα","power","energy"
"έξοχος","μεγάλος","μετελος","anοχος","excellent","great"
"έξυπνος","έξυπνος","έξεννος","έξευνος","smart","intelligent"
"έξω","σχετικά με","σχετικφιμε","ύνω","out","about"
"εξω απο","μέσα","μέξι","εξνζαπο","outside","inside"
"επακρώς","πολύ","ποlk","επακαϊς","extremely","very"
"επείγων","επείγον","επείδιν","εποιγων","urgent","emergency"
"επεξεργάζομαι, διαδικασία","διαδικασία","διαδικοπία","επεξεργάζομαι, διαδικαμοα","process","procedure"
"επέτειος","γενέθλια","γεωρθλια","επέτογος","anniversary","birthday"
"επιβάτης","οδηγός","οδωπός","επσκάτης","passenger","driver"
"επιβεβαίωση","επιβεβαιώνω","επιβεβαιάρω","επιβεβρτωση","confirmation","confirm"
"επιδόρπιο","κέικ","ραικ","επιδόρύρο","dessert","cake"
"επιθεωρητής","επίτροπος","επίταγπος","επιθτήρητής","inspector","commissioner"
"επιθυμία","επιθυμία","επιθερία","επιθηρία","desire","wish"
"επικίνδυνος","επικίνδυνος","επικετδυνος","επικετδυνος","risky","dangerous"
"επικοινωνία","σύνδεση","σύπίεση","επικοιοινία","contact","connection"
