en_cue,en_fake_cue,en_target,en_fake_target,fixed
crowd,crdcd,,,crawe
club,clyn,,,clun
white,whnge,,,whobe
bribe,brbre,,,brame
dig,ngg,,,dag
dog,lng,,,dok
lip,scp,,,fip
hot,ndt,,,wot
law,myw,,,vaw
slow,slff,,,slup
sky,zzy,,,sko
right,prght,,,roght
art,cht,,,urt
frog,frmm,,,frug
air,skr,,,hir
show,shff,,,shew
cow,myw,,,ciw
TRUE,trfy,,,truw
live,scve,,,pive
flag,flpp,,,flup
bush,trsh,,,bigh
dvd,nld,,,ald
run,ynn,,,ruk
dry,nty,,,doy
job,mcb,,,joib
spinal,spmial,,,spunel
autopsy,aucurtsy,,,acurtsy
admire,adsias,,,adsas
hand,iend,,,iend
shield,shakld,,,shakod
vein,rgin,,,vuin
help,heui,,,helk
try,oky,,,tro
trap,buap,,,buap
war,eir,,,eir
charm,chhum,,,chrum
brown,brnin,,,benin
bible,biute,,,blute
top,ipp,,,ipp
girl,giob,,,girk
shine,shthe,,,shuhe
scratch,scrakih,,,scrack
train,troun,,,troun
industry,inreentry,,,inentry
honey,staey,,,stagy
dessert,deatert,,,destert
count,conot,,,conot
lamp,lawr,,,lanp
anarchy,anaryare,,,anarthy
floor,flsir,,,fluir
mafia,maiga,,,maiga
grab,grvi,,,griv
grave,grnte,,,grane
mile,midg,,,midy
ritual,blasual,,,blasual
church,chakch,,,chack
attractive,atsumptive,,,attumptive
tobacco,tochonco,,,tochonco
chaos,chtus,,,chius
silk,sioy,,,sioy
baron,bandn,,,banen
tasty,tariy,,,tarpy
freedom,freeety,,,freety
flu,ndu,,,fle
pound,poetd,,,poend
skirt,skbot,,,skout
eye,mte,,,mye
impossible,imbibedsible,,,imbisible
feed,tted,,,thed
nest,neey,,,neey
fashionable,cheeionable,,,chetionable
proud,raoud,,,troud
wait,watc,,,wate
fake,farh,,,fath
mother,freeer,,,mutheer
mail,mawe,,,mawe
cough,cookh,,,cooth
end,xed,,,ind
grain,grimn,,,grimn
cloud,clvid,,,cloid
spoon,spkan,,,spano
two,rco,,,tyo
scare,scnne,,,scire
boys,boei,,,bov
tough,toffh,,,totch
base,uise,,,bise
low,iew,,,lew
accidentally,accidenshichily,,,accidenshily
june,eyne,,,eyne
climb,clbab,,,cloab
now,iew,,,cew
smile,nvile,,,snile
lie,yce,,,loe
ming,mikh,,,mith
place,pllie,,,plice
physics,phklics,,,pholics
pork,pogh,,,pogh
trophy,jefphy,,,trephy
see,lte,,,sie
telescope,firescope,,,firescope
ring,riou,,,riou
sea,yra,,,soa
coal,rsal,,,chal
choice,cheyce,,,cheyce
green,grrin,,,grein
adult,ooult,,,odult
tablet,tablch,,,taboch
birth,bilkh,,,bilth
trouble,apolble,,,arpoble
process,prgoess,,,proess
push,essh,,,essh
anger,anksr,,,anker
record,reetrd,,,retrud
hire,uare,,,nire
pub,uib,,,pib
cream,crrom,,,croom
shot,shpa,,,spab
oven,ssen,,,voen
nap,eop,,,eop
rhythm,rhytdt,,,rhyton
say,uey,,,tay
what,whco,,,whur
bind,bitc,,,binu
skin,skto,,,skun
sad,eud,,,eud
refuse,renose,,,renose
locked,looned,,,lonet
fall,fari,,,fari
cabin,lipin,,,lipin
banking,venging,,,bonket
valuable,tillable,,,hanable
hold,hobs,,,hobs
iron,exon,,,uron
distance,distains,,,distions
poet,poral,,,poral
reading,versing,,,rouding
,,ant,cht,anc
,,bait,hmit,hait
,,bus,nns,bos
,,butt,trtt,buve
,,bye,yke,bie
,,crazy,crlty,croty
,,cut,ytt,cit
,,do,tz,di
,,draw,drdd,druw
,,dust,ngst,dost
,,eat,cht,eth
,,fax,yzx,fak
,,go,tz,gu
,,gram,grps,grem
,,hat,cht,het
,,know,knff,knup
,,let,cht,lut
,,lick,scck,leck
,,ling,scng,lenk
,,put,mmt,pem
,,rat,cht,riv
,,shoe,shdn,shen
,,snow,snff,sniw
,,stove,stshe,sture
,,style,strre,styng
,,sun,vvn,sen
,,tie,rve,tih
,,up,tz,op
,,arm,uim,irm
,,army,eamy,eamy
,,around,aratnd,arand
,,bad,Ï…ld,gad
,,bag,ieg,kag
,,bar,eir,kar
,,beer,ncer,beor
,,boy,wmy,bup
,,bride,brste,brost
,,bro,rgo,dro
,,calm,cabr,calb
,,car,eir,eir
,,cat,ldt,cet
,,chair,chnor,chuor
,,cheap,chivp,chiep
,,chew,chtu,chun
,,close,clnte,clote
,,closed,clpled,cluled
,,cold,cooc,culk
,,crime,craie,craim
,,cute,unte,unte
,,dad,ird,ird
,,deaf,deio,deio
,,die,nte,biw
,,ding,diou,diou
,,district,disthies,disthies
,,drug,drfa,druy
,,ear,uer,uer
,,east,eaux,eash
,,easy,eade,eade
,,effect,efvers,effur
,,egg,azg,ogg
,,equip,eqnap,enuip
,,external,exterbles,exterbles
,,FALSE,splse,folse
,,fever,feinr,fevir
,,fight,fittt,figth
,,flour,flcer,floce
,,fog,lng,feg
,,free,frpy,feey
,,freeze,freeod,freeth
,,gift,gilr,geft
,,girls,gieis,giels
,,group,grsip,groip
,,height,heelht,heelth
,,hide,ilde,ilde
,,high,hiul,hiul
,,hiv,ovv,oiv
,,joke,ucke,ucke
,,joy,nty,niy
,,king,eong,eong
,,knee,eree,eree
,,knife,knnae,knufe
,,lake,ecke,ecke
,,liar,nkar,niar
,,lieutenant,hithtenant,hithtenant
,,long,loou,lonu
,,mum,uim,uim
,,oil,ael,ael
,,onion,onofn,oning
,,owner,khaer,aneer
,,pen,ynn,pon
,,pill,iell,boll
,,press,rgess,prist
,,price,prnne,proon
,,priest,prsist,proist
,,probe,prrke,proke
,,proof,prsef,proef
,,pull,esll,kell
,,rarely,ntrely,rorely
,,rob,ubb,ubb
,,shoot,shimt,shimt
,,simple,psyple,semple
,,sniper,snheer,snoeer
,,three,thgue,thrae
,,thumb,thweb,theeb
,,use,ooe,ose
,,usual,aaral,aaral
,,van,ign,vun
,,win,ldn,wen
,,wire,erre,erre
,,apartment,blastment,blastment
,,brother,bracker,bracker
,,camping,pacting,pathing
,,candle,canway,canway
,,charming,thorning,thoning
,,creepy,crimpy,crempy
,,dawn,dask,dask
,,forest,fornia,fornia
,,hydrogen,hydromats,hydogun
,,inherit,inplicit,inicit
,,liver,cober,cober
,,match,mazeh,mazeh
,,microscope,microstand,microstane
,,money,parey,parey
,,morning,bolding,mornded
,,powerless,powerfuck,poworing
,,provide,proused,provood
,,ransom,rancer,ransime
,,reactor,reaccent,rebugor
,,reasonable,reasonings,puthable
,,remain,recase,remune
,,subject,subsets,subget
,,think,thuck,thuck
,,trial,danal,danal
,,unable,unhelp,unelp
,,university,greenversity,greenversity
,,unknown,unitous,unitous
,,verify,physify,physify
,,very,rury,rury
,,vitamin,vitalogue,vitalogue
,,vodka,puska,puska
,,watson,ripson,ripson
,,winter,stater,winper
,,worthless,forceless,gorless
,,young,adung,adung
,,zone,zolt,zolt