pairID,word1,word2,POS,similarity,association,n_sim,n_asso,JWSAN_1400
p0001,うら悲しい,物憂い,3,2.85,3.49,150,150,0
p0002,おっかない,酷い,3,1.56,2.78,170,140,0
p0003,か細い,弱い,3,3.36,4.22,140,130,1
p0004,きつい,ごつい,3,1.58,2.56,170,140,0
p0005,きつい,煙たい,3,1.35,2.64,170,130,0
p0006,きつい,甚だしい,3,1.92,2.91,150,140,1
p0007,きつい,悲しい,3,1.51,3.28,170,130,1
p0008,けたたましい,淡い,3,0.79,1.36,180,130,0
p0009,けばけばしい,どぎつい,3,3.64,4.35,140,130,1
p0010,こっ酷い,強い,3,1.14,2.12,170,160,0
p0011,さもしい,醜い,3,2.33,2.88,140,130,1
p0012,しんどい,不味い,3,1.39,2.58,170,130,0
p0013,そそっかしい,空しい,3,0.74,1.65,160,150,0
p0014,ださい,深い,3,0.58,1.36,170,130,0
p0015,ちょろい,平たい,3,0.89,1.63,170,150,0
p0016,でかい,どでかい,3,4.57,4.86,180,160,0
p0017,でかい,高い,3,2.13,3.24,160,150,0
p0018,でかい,茶色い,3,0.51,0.86,180,140,0
p0019,とろい,鈍い,3,4.31,4.63,170,130,1
p0020,とろい,難しい,3,0.87,2.08,180,160,0
p0021,ひもじい,固い,3,0.69,1.33,160,150,0
p0022,ひ弱い,等しい,3,0.63,1.43,160,120,0
p0023,めんこい,可愛い,3,5.25,5.14,160,170,0
p0024,やばい,危ない,3,4.11,4.79,180,140,1
p0025,愛くるしい,芳しい,3,1.44,2.75,190,140,0
p0026,暗い,湿っぽい,3,2.38,3.7,170,160,1
p0027,暗い,重苦しい,3,2.69,4.12,180,140,1
p0028,暗い,薄黒い,3,2.99,3.77,170,150,0
p0029,暗い,物悲しい,3,2.18,3.38,160,150,1
p0030,暗い,物憂い,3,2.17,3.24,180,160,0
p0031,偉い,心安い,3,0.85,2.23,170,140,0
p0032,遠い,黄色い,3,0.57,0.93,160,150,1
p0033,遠い,気怠い,3,1.02,2.24,180,160,0
p0034,汚い,醜い,3,3.36,4.12,160,150,1
p0035,奥床しい,慎ましい,3,3.53,3.91,180,140,0
p0036,奥床しい,慎み深い,3,3.69,3.86,180,150,0
p0037,奥深い,厳めしい,3,1.43,2.34,150,150,0
p0038,黄色い,呪わしい,3,0.46,1.24,180,150,0
p0039,黄色い,粗い,3,0.71,1.24,150,140,0
p0040,温かい,口喧しい,3,0.83,1.8,180,160,0
p0041,可愛い,素晴らしい,3,1.84,3.12,170,130,1
p0042,可笑しい,そそっかしい,3,1.19,2.65,140,130,0
p0043,可笑しい,物珍しい,3,1.75,2.63,130,150,1
p0044,可笑しい,面白い,3,3.72,4.19,170,140,1
p0045,可笑しい,面白おかしい,3,4.01,4.2,160,120,0
p0046,怪しい,覚束無い,3,1.82,2.8,180,160,0
p0047,怪しい,疑わしい,3,4.31,4.73,160,100,1
p0048,怪しい,訝しい,3,3.29,3.69,160,170,0
p0049,覚束無い,甲斐甲斐しい,3,1.31,2.11,140,130,0
p0050,覚束無い,呆気ない,3,1.71,2.55,150,150,0
p0051,楽しい,面白い,3,4.05,4.45,170,130,1
p0052,楽しい,麗しい,3,1.48,2.91,190,140,0
p0053,危うい,覚束無い,3,2,2.9,160,100,0
p0054,危ない,覚束無い,3,2.33,3.08,130,150,0
p0055,危ない,険しい,3,3.33,4.39,170,140,1
p0056,嬉しい,口惜しい,3,0.74,2.24,160,120,0
p0057,嬉しい,麗しい,3,1.64,2.61,130,150,1
p0058,忌ま忌ましい,憎らしい,3,3.74,4.04,160,150,0
p0059,忌ま忌ましい,煩わしい,3,2.59,3.05,160,150,0
p0060,気高い,神々しい,3,3.09,3.95,170,150,1
p0061,気弱い,回りくどい,3,0.93,1.99,130,150,0
p0062,気怠い,手堅い,3,1.06,1.89,170,160,0
p0063,気難しい,恐ろしい,3,1.49,2.71,170,130,0
p0064,輝かしい,粘り強い,3,0.9,2.12,160,170,0
p0065,宜しい,潔い,3,1.65,2.65,170,150,1
p0066,宜しい,良い,3,3.24,3.81,160,150,1
p0067,恐ろしい,悍ましい,3,2.02,2.82,140,130,0
p0068,仰々しい,空々しい,3,1.51,2.6,170,130,0
p0069,近い,限り無い,3,1.23,2.26,150,140,0
p0070,苦い,草深い,3,0.96,1.96,170,140,0
p0071,苦い,程良い,3,0.67,2.04,180,150,0
p0072,激しい,寒々しい,3,0.98,1.8,160,170,0
p0073,激しい,荒々しい,3,4.05,4.56,180,140,1
p0074,潔い,良い,3,2.14,3.41,170,140,1
p0075,堅苦しい,古めかしい,3,1.64,3.01,160,150,1
p0076,賢い,鋭い,3,2.51,3.91,160,120,1
p0077,限り無い,ぼろい,3,0.78,1.55,170,150,0
p0078,厚かましい,空しい,3,0.69,1.74,160,150,0
p0079,口汚い,古めかしい,3,0.75,1.53,170,150,0
p0080,口惜しい,真新しい,3,0.54,1.5,160,100,0
p0081,好ましい,快い,3,3.28,4.09,160,100,1
p0082,好ましい,宜しい,3,2.73,3.49,150,140,1
p0083,好ましい,頼もしい,3,2.02,3.21,130,150,1
p0084,甲高い,黄色い,3,1.94,3.07,170,150,1
p0085,酷い,ひ弱い,3,1.05,2.04,170,150,0
p0086,黒い,刺々しい,3,1.09,2.41,190,140,0
p0087,細い,薄い,3,2.1,3.42,180,130,1
p0088,細長い,心憎い,3,0.69,1.24,160,100,0
p0089,歯痒い,苛立たしい,3,3.32,3.8,160,150,0
p0090,似合わしい,正しい,3,1.71,2.81,150,140,0
p0091,似合わしい,相応しい,3,3.78,4.09,170,150,0
p0092,若い,物狂おしい,3,0.79,2.02,170,140,0
p0093,弱い,脆い,3,3.45,4.03,170,130,1
p0094,手堅い,寒々しい,3,0.71,1.81,170,140,0
p0095,重い,慎み深い,3,1.24,2.27,160,150,0
p0096,重い,物狂おしい,3,1.48,2.4,150,140,0
p0097,重い,鬱陶しい,3,2.44,3.72,170,130,1
p0098,重苦しい,心憎い,3,1.45,2.77,170,130,0
p0099,重苦しい,鬱陶しい,3,2.95,3.69,150,140,1
p0100,小さい,若い,3,1.92,3.02,170,150,1
p0101,小賢しい,口惜しい,3,1.16,2.11,180,150,0
p0102,情け深い,ごつい,3,0.74,1.46,160,170,0
p0103,心許ない,軽々しい,3,1.54,2.69,180,160,1
p0104,心強い,著しい,3,1.01,2.15,160,120,0
p0105,心強い,腹黒い,3,0.75,1.62,160,170,0
p0106,心憎い,刺々しい,3,1.86,2.71,170,150,0
p0107,心地良い,楽しい,3,3.44,4.48,180,130,0
p0108,心地良い,麗しい,3,1.84,3.07,160,150,0
p0109,慎ましい,馬鹿馬鹿しい,3,0.83,1.69,180,140,0
p0110,慎ましい,忝い,3,1.65,2.59,130,150,0
p0111,新しい,厚い,3,0.64,1.5,180,140,1
p0112,深い,晴々しい,3,0.84,1.79,170,160,0
p0113,真っ黒い,ひもじい,3,0.67,1.47,150,150,0
p0114,真っ黒い,渋い,3,1.05,2.22,140,130,0
p0115,親しい,神々しい,3,0.87,1.71,180,130,0
p0116,身軽い,ひ弱い,3,1.19,1.94,130,150,0
p0117,水臭い,疎い,3,1.3,2.04,160,150,0
p0118,凄い,怖い,3,1.28,2.52,160,150,1
p0119,凄まじい,荒い,3,2.37,3.51,180,130,1
p0120,凄まじい,悍ましい,3,1.74,2.68,170,150,0
p0121,正しい,良い,3,3.95,4.76,170,160,1
p0122,清々しい,心無い,3,0.83,1.79,180,140,0
p0123,清い,そそっかしい,3,0.57,1.45,180,150,0
p0124,青い,禍々しい,3,1.14,1.67,180,130,0
p0125,青い,神々しい,3,0.84,1.95,170,150,0
p0126,青白い,身軽い,3,0.68,1.39,180,160,0
p0127,脆い,呆気ない,3,2.17,3.16,190,140,1
p0128,浅ましい,鋭い,3,0.96,1.86,170,160,0
p0129,素っ気ない,蒸し暑い,3,0.47,1.07,160,150,0
p0130,素晴らしい,輝かしい,3,3.78,4.49,170,160,1
p0131,早い,口喧しい,3,1.05,2.15,170,130,0
p0132,相応しい,ぼろい,3,0.8,1.73,150,140,0
p0133,騒々しい,目新しい,3,0.73,1.77,160,150,0
p0134,息苦しい,嬉しい,3,0.67,1.58,170,130,0
p0135,尊い,ひょろ長い,3,0.51,1.19,170,160,0
p0136,尊い,気高い,3,3.14,3.87,160,150,1
p0137,尊い,恐れ多い,3,2.67,3.86,180,130,1
p0138,多い,真新しい,3,0.57,1.71,170,150,0
p0139,太い,広い,3,1.97,3.24,160,170,1
p0140,珍しい,目新しい,3,3.55,4.42,150,150,1
p0141,痛い,遠い,3,0.54,1.38,160,100,1
p0142,痛い,苦しい,3,3.31,4.44,170,150,1
p0143,痛い,小賢しい,3,0.92,2.05,160,100,0
p0144,痛ましい,短い,3,0.59,1.37,160,150,0
p0145,程良い,難しい,3,0.92,2.36,160,120,0
p0146,等しい,近い,3,2.73,3.65,150,150,1
p0147,等しい,血腥い,3,0.96,1.85,180,140,0
p0148,熱い,気怠い,3,1.05,2.21,170,160,0
p0149,馬鹿馬鹿しい,疑い深い,3,0.94,2.27,170,150,0
p0150,白い,ひょろ長い,3,0.79,2.35,170,130,0
p0151,白い,慎み深い,3,0.96,1.83,150,150,0
p0152,煩い,騒々しい,3,2.94,3.7,180,130,1
p0153,煩い,騒がしい,3,3.28,3.91,160,150,1
p0154,卑しい,汚い,3,2.53,3.66,180,150,1
p0155,卑しい,浅ましい,3,3.13,3.89,190,140,1
p0156,卑しい,如何わしい,3,2.33,3.18,180,130,0
p0157,悲しい,憂い,3,2.76,3.75,170,150,1
p0158,美しい,麗しい,3,4.21,4.36,170,130,1
p0159,貧しい,情け深い,3,0.81,1.62,160,150,0
p0160,不味い,見苦しい,3,1.56,2.76,180,150,0
p0161,不味い,拙い,3,2.15,2.86,160,150,0
p0162,怖い,恐ろしい,3,4.89,4.85,180,150,1
p0163,腹黒い,早い,3,0.54,1.29,140,130,0
p0164,平たい,丸っこい,3,0.86,2.57,160,120,0
p0165,芳しい,香ばしい,3,2.83,3.56,190,140,1
p0166,乏しい,堅苦しい,3,0.79,1.72,160,150,0
p0167,忙しい,慌ただしい,3,4.04,4.71,150,150,1
p0168,無い,軽い,3,1.33,2.46,160,170,1
p0169,明るい,慎み深い,3,0.94,2.07,160,150,0
p0170,明るい,淡い,3,1.93,2.99,150,140,1
p0171,面白い,早い,3,0.71,1.73,190,140,1
p0172,目覚ましい,素晴らしい,3,2.87,3.85,130,150,1
p0173,目新しい,煩い,3,1.01,2.09,190,140,0
p0174,優しい,温かい,3,2.73,4.14,160,150,1
p0175,優しい,懐こい,3,1.71,3.03,160,120,0
p0176,優しい,柔らかい,3,2.7,3.82,160,170,1
p0177,優しい,軟らかい,3,2.25,3.51,140,130,1
p0178,勇ましい,雄々しい,3,4.02,4.52,130,150,1
p0179,有り難い,色好い,3,1.26,1.87,160,150,0
p0180,幼い,若い,3,3.75,4.1,170,130,1
p0181,幼い,青臭い,3,3.26,3.95,160,120,1
p0182,冷たい,寒い,3,3.54,4.88,190,140,1
p0183,冷たい,素っ気ない,3,3.79,4.52,150,150,0
p0184,侘しい,寂しい,3,3.07,3.71,160,100,1
p0185,儚い,拙い,3,1.64,2.55,170,150,1
p0186,眩い,輝かしい,3,3.33,4.07,180,160,0
p0187,眩い,美々しい,3,2.59,3.13,160,100,0
p0188,眩しい,輝かしい,3,3.46,4,170,130,1
p0189,しゃくる,呼び戻す,2,1.02,1.75,160,150,0
p0190,ぶら下げる,垂らす,2,3.89,4.37,190,140,1
p0191,囲む,済ます,2,0.81,1.64,160,170,0
p0192,為さる,致す,2,2.31,3.09,170,150,1
p0193,移す,置き換える,2,3.05,3.91,170,130,0
p0194,移る,遣り過ごす,2,1.41,2.58,170,130,0
p0195,移る,転ずる,2,3.47,3.69,180,150,1
p0196,移る,崩れ落ちる,2,0.83,2.26,170,140,0
p0197,育つ,甘やかす,2,1,2.97,140,130,0
p0198,引き下げる,落とす,2,2.81,3.63,140,130,1
p0199,引き締める,張り詰める,2,1.82,3.13,180,150,0
p0200,引き締める,張る,2,2.08,3.23,170,140,1
p0201,引き返す,戻る,2,4.46,4.8,170,140,0
p0202,引き戻す,跳ね上がる,2,0.88,2.05,170,140,0
p0203,引っ掻く,褒める,2,0.66,1.19,170,160,0
p0204,飲み込む,失う,2,1.03,2.15,190,140,0
p0205,渦巻く,躱す,2,1.35,2.46,170,150,0
p0206,栄える,賑わう,2,3.59,4.57,190,140,1
p0207,押さえる,込み上げる,2,1.2,2.82,150,140,1
p0208,押さえ込む,突き抜ける,2,1.12,2.05,170,130,0
p0209,押し掛ける,吹き付ける,2,1.12,2.01,160,150,0
p0210,押し寄せる,降り懸かる,2,2.16,3.15,170,140,1
p0211,押し上げる,突き抜ける,2,2.08,3.42,160,170,1
p0212,温める,熱する,2,3.82,4.57,190,140,0
p0213,温める,掠める,2,1.12,2.33,170,140,1
p0214,下がる,減る,2,3.35,4.24,130,150,1
p0215,下がる,落ちる,2,3.32,4.34,170,150,1
p0216,下がる,落ち込む,2,3.28,4.15,180,140,0
p0217,下げる,落とす,2,3.02,3.67,170,150,1
p0218,下さる,倒れる,2,0.93,1.81,180,130,1
p0219,下りる,伝う,2,0.95,2.17,160,150,0
p0220,加える,足す,2,4.86,4.76,160,150,1
p0221,果てる,逝く,2,3.53,4.07,160,150,1
p0222,火照る,焦がす,2,1.75,3.05,140,130,1
p0223,課する,裁く,2,1.79,3.02,170,130,1
p0224,霞む,ぼやける,2,4.21,4.17,160,150,1
p0225,回す,繰る,2,1.85,3.03,170,150,1
p0226,回す,捻る,2,2.16,3.28,160,120,1
p0227,回る,捻る,2,1.78,2.74,180,140,1
p0228,戒める,書き記す,2,1.1,2.16,150,150,0
p0229,改まる,翻す,2,1.85,2.85,170,130,1
p0230,改める,正す,2,4.34,4.48,170,130,1
p0231,改める,転ずる,2,2.16,3.24,140,130,1
p0232,外す,脱する,2,3.31,3.84,160,150,1
p0233,外す,略す,2,2.01,2.85,180,160,1
p0234,確かめる,惑わす,2,0.82,2.09,150,150,0
p0235,学ぶ,習う,2,4.58,4.95,170,150,1
p0236,掛かる,攻める,2,1.55,2.55,170,150,1
p0237,掛ける,成す,2,1.16,2.08,170,130,1
p0238,割る,欠く,2,2.59,3.67,160,120,1
p0239,割る,罵る,2,0.88,1.84,170,150,0
p0240,割る,立ち入る,2,1.83,2.56,150,140,1
p0241,割れる,砕ける,2,3.98,4.39,160,150,1
p0242,割れる,試す,2,0.74,1.68,160,170,0
p0243,噛み締める,汲み取る,2,1.35,2.32,130,150,0
p0244,刈る,研ぐ,2,1.82,2.9,130,150,1
p0245,乾かす,防ぐ,2,0.78,1.66,180,140,0
p0246,感じ取る,気付く,2,3.86,4.49,160,150,0
p0247,緩む,薄れる,2,1.89,2.97,140,130,1
p0248,緩める,解す,2,2.2,3.33,160,120,1
p0249,間に合う,遊ぶ,2,0.67,1.72,150,140,1
p0250,陥れる,呼び戻す,2,0.83,1.96,190,140,0
p0251,含む,盛り込む,2,3.18,3.72,180,160,1
p0252,寄る,言い渡す,2,1.21,2.21,190,140,0
p0253,気付く,見出だす,2,3.07,3.88,160,150,0
p0254,起き上がる,打ち消す,2,0.71,1.48,180,140,0
p0255,吸い込む,演ずる,2,0.64,1.68,170,130,0
p0256,強まる,深まる,2,3.16,4.03,160,100,1
p0257,強める,高める,2,2.85,3.96,170,150,1
p0258,強める,深める,2,2.52,3.75,170,130,1
p0259,恐れる,慕う,2,0.67,1.91,160,150,0
p0260,教える,育てる,2,3.03,4.36,180,130,1
p0261,教え込む,覚える,2,1.79,3.83,160,150,0
p0262,曲がる,当たる,2,0.8,1.99,150,150,1
p0263,曲げる,飛び越える,2,0.76,1.7,180,140,0
p0264,掘る,上る,2,0.72,1.78,180,150,1
p0265,形作る,画する,2,2.1,3,160,170,1
p0266,掲げる,遣り過ごす,2,1.01,2.02,170,150,0
p0267,繋がる,進める,2,1.52,2.94,170,150,1
p0268,繋ぐ,告げる,2,1.04,2.11,160,150,1
p0269,結ぶ,分かる,2,1,2.48,170,140,1
p0270,研ぐ,磨く,2,4.04,4.52,170,130,1
p0271,見える,ぼやける,2,1.37,3.34,180,160,1
p0272,見える,脅かす,2,0.76,1.72,170,130,0
p0273,見る,試す,2,1.45,3.02,170,140,1
p0274,見る,切る,2,0.52,1.71,160,150,1
p0275,見下ろす,養う,2,0.76,1.71,160,120,0
p0276,見合う,荒らす,2,0.68,1.48,170,130,0
p0277,見合う,滲む,2,1.16,2.05,180,130,1
p0278,見据える,嘲る,2,1.41,2.17,170,150,0
p0279,見比べる,調べる,2,2.76,3.93,180,140,1
p0280,遣り直す,煽る,2,1.22,2.25,170,150,0
p0281,減る,衰える,2,2.65,3.66,150,150,1
p0282,減る,落ち込む,2,1.77,3.34,190,140,0
p0283,現われる,入れ替わる,2,1.24,2.49,160,150,0
p0284,言う,買い取る,2,0.59,1.68,170,150,0
p0285,呼び掛ける,放る,2,0.99,1.86,180,130,1
p0286,呼び出す,押し掛ける,2,1.03,3.03,170,130,0
p0287,呼び戻す,引き延ばす,2,0.87,2.1,180,150,0
p0288,悟る,感じ取る,2,3.48,4.11,140,130,0
p0289,交ぜる,掻き混ぜる,2,3.69,4.2,180,130,1
p0290,交わす,引き替える,2,1.69,2.72,160,100,1
p0291,交わす,切り替える,2,1.26,2.44,170,160,1
p0292,口走る,甘やかす,2,0.88,1.48,130,150,0
p0293,向ける,被せる,2,1.21,2.3,160,100,1
p0294,広がる,膨らむ,2,3.81,4.46,160,150,1
p0295,広まる,掛け合う,2,1.16,2.5,170,140,0
p0296,広まる,飼う,2,0.69,1.53,150,140,0
p0297,広める,通る,2,1.44,2.56,170,150,0
p0298,考える,研ぐ,2,1.5,2.66,180,160,1
p0299,考える,当て嵌める,2,1.62,3.29,190,140,1
p0300,考え込む,逃げる,2,0.84,2.05,170,150,0
p0301,降る,惚れる,2,0.66,1.37,160,100,0
p0302,合わす,結び付ける,2,3.13,3.94,180,140,0
p0303,合わす,整える,2,2.74,3.65,160,170,1
p0304,差し込む,運ぶ,2,0.89,2.08,170,130,0
p0305,差し込む,挟む,2,3.12,3.44,170,130,0
p0306,差し込む,剥がす,2,0.92,2.14,160,120,0
p0307,催す,覚える,2,1.08,2.15,170,130,1
p0308,砕く,嘲る,2,1.58,2.45,160,150,1
p0309,作り上げる,波打つ,2,0.78,1.77,160,120,0
p0310,作る,織る,2,2.76,3.89,160,150,1
p0311,削ぐ,減らす,2,3.32,4.19,180,160,1
p0312,削る,限る,2,1.59,2.45,160,150,1
p0313,晒す,拭き取る,2,1.03,2.13,180,160,0
p0314,晒す,青褪める,2,1.49,2.43,170,150,0
p0315,仕込む,育てる,2,2.24,3.39,170,140,1
p0316,仕上げる,済む,2,3,3.68,140,130,1
p0317,仕上げる,成し遂げる,2,3.77,4.28,160,150,0
p0318,仕舞う,済ます,2,2.01,3.19,160,100,1
p0319,仕立てる,為さる,2,1.66,2.54,170,160,1
p0320,仕立てる,成る,2,2.55,3.56,180,140,1
p0321,思い描く,似る,2,1.08,2.2,160,150,0
p0322,支える,崩れ落ちる,2,0.95,2.81,180,140,1
p0323,死ぬ,逝く,2,5.28,5.06,180,150,1
p0324,持ち上がる,起きる,2,2.16,3.22,180,140,1
p0325,持ち上げる,振り絞る,2,0.83,1.98,180,150,0
p0326,失せる,消える,2,4.29,4.59,160,150,1
p0327,失せる,無くなる,2,4.21,4.64,180,130,1
p0328,偲ぶ,覚える,2,1.33,2.28,160,170,1
p0329,偲ぶ,思い返す,2,3.48,4.2,170,130,0
p0330,写す,食する,2,0.53,1.39,160,150,0
p0331,捨てる,突き放す,2,2.33,3.65,150,150,1
p0332,煮る,茹でる,2,3.46,4.35,160,100,1
p0333,借りる,貸す,2,1.39,4.34,180,150,1
p0334,弱まる,静まる,2,2.42,3.74,190,140,1
p0335,弱る,減る,2,2.12,3.19,160,120,1
p0336,取り掛かる,始める,2,4.72,4.67,180,150,1
p0337,取り消す,研ぐ,2,0.7,1.35,160,150,0
p0338,取り入れる,組み込む,2,3.94,4.09,160,150,0
p0339,取り入れる,用いる,2,3.56,3.95,170,150,1
p0340,取り付ける,嵌める,2,1.55,2.53,180,150,1
p0341,取り付ける,嵌め込む,2,2.68,3.44,180,160,0
p0342,取り戻す,誘う,2,0.86,1.9,180,130,1
p0343,取る,読む,2,1.11,2.31,150,150,1
p0344,手伝う,刻み込む,2,0.72,1.65,180,140,0
p0345,受ける,頂く,2,3.02,3.83,180,150,1
p0346,受ける,得る,2,3.17,3.8,160,100,1
p0347,受け取る,差し出す,2,1.07,3.79,160,120,1
p0348,収まる,薄れる,2,1.21,2.56,190,140,1
p0349,蹴飛ばす,当て嵌まる,2,1.11,1.77,130,150,0
p0350,従う,準ずる,2,3.09,3.96,170,140,1
p0351,縮む,黒ずむ,2,0.71,1.79,180,140,0
p0352,縮める,詰まる,2,2.21,3.38,160,150,1
p0353,熟す,長ける,2,1.92,3.09,180,140,1
p0354,出す,引っ張る,2,2.23,3.76,170,160,1
p0355,出す,取る,2,1.73,3.23,160,170,1
p0356,出る,抜ける,2,3.03,3.78,160,150,1
p0357,出迎える,取り次ぐ,2,1.64,2.85,140,130,1
p0358,書く,鍛える,2,0.69,2.22,170,140,0
p0359,助ける,役立つ,2,2.48,4.03,180,160,1
p0360,除く,食する,2,0.65,1.57,160,150,0
p0361,傷付ける,損なう,2,2.93,3.89,180,130,1
p0362,傷付ける,損ねる,2,2.79,3.73,160,150,1
p0363,傷付ける,痛める,2,3.86,4.42,170,130,1
p0364,勝ち取る,増す,2,1.41,2.86,190,140,0
p0365,消える,吹かす,2,0.86,1.82,160,150,0
p0366,消える,無くなる,2,4.6,4.99,150,150,1
p0367,焼く,燃やす,2,4.36,4.71,140,130,1
p0368,焼ける,燃やす,2,3.46,4.32,130,150,1
p0369,焦がす,燃える,2,3.11,4.29,160,100,1
p0370,称える,くっ付く,2,1.16,1.87,160,150,0
p0371,称する,帰する,2,1.18,2.08,140,130,0
p0372,上る,立てる,2,1.68,2.82,180,130,1
p0373,上回る,飽きる,2,0.73,1.79,160,120,0
p0374,乗せる,頷く,2,0.96,1.98,150,150,1
p0375,乗り換える,交わす,2,0.99,2.07,160,150,0
p0376,乗り換える,取り替える,2,2.38,3.17,170,150,0
p0377,乗り出す,飛び込む,2,2.04,3.38,160,100,0
p0378,飾る,切り落とす,2,0.75,1.88,170,160,0
p0379,色褪せる,衰える,2,2.98,4.13,160,170,1
p0380,色褪せる,薄れる,2,3.65,4.11,170,130,1
p0381,触れる,妨げる,2,1.02,1.98,130,150,1
p0382,伸ばす,引き延ばす,2,3.24,3.63,160,150,1
p0383,伸ばす,広げる,2,3.21,4.14,180,130,1
p0384,伸びる,為る,2,0.88,1.98,160,150,1
p0385,伸びる,育つ,2,3.59,4.49,150,150,1
p0386,伸びる,広がる,2,2.76,4.15,170,150,1
p0387,伸びる,広げる,2,2.77,3.95,160,170,1
p0388,伸びる,生う,2,2.25,3.06,130,150,0
p0389,伸びる,生まれ育つ,2,1.87,3.07,130,150,0
p0390,寝る,眠る,2,4.73,5.04,170,150,1
p0391,振り撒く,割る,2,1.28,2.27,170,150,0
p0392,振るう,寄る,2,1.04,2.12,160,120,1
p0393,申し出る,平らげる,2,0.76,1.56,160,100,0
p0394,真似る,惑わす,2,1.06,2.39,160,100,0
p0395,尽くす,埋める,2,1.28,2.38,170,130,1
p0396,図る,働き掛ける,2,2.44,3.28,160,170,1
p0397,吹かす,打ち消す,2,0.99,1.83,160,150,0
p0398,吹き出す,沸き起こる,2,2.68,3.61,180,160,0
p0399,酔っ払う,消え失せる,2,0.43,1.39,180,150,0
p0400,据える,片付ける,2,1.39,2.66,180,150,1
p0401,成す,致す,2,2.87,3.42,160,150,1
p0402,整える,片付ける,2,4.07,4.66,170,160,1
p0403,晴れる,吸い取る,2,0.66,1.38,180,130,0
p0404,生きる,属する,2,1.21,2.72,160,170,1
p0405,生ずる,起きる,2,3.05,3.85,170,130,1
p0406,生ずる,飼う,2,0.87,1.96,160,150,1
