"pl_target","pl_cue","pl_fake_cue","pl_fake_target","en_cue","en_target"
"absolwent","dyplom","dycioł","absolnian","diploma","graduate"
"absurdalny","niedorzeczny","niedoświetny","absurkwentny","ridiculous","absurd"
"administracyjny","kierownictwo","kierownicwiasz","administrawdzięczny","management","administrative"
"adrenalina","hormon","osąmon","adrenalinatkniesz","hormone","adrenaline"
"adres","numer","nutuj","adzuj","number","address"
"agencja","solidny","sotrumny","sponcja","firm","agency"
"akcent","głos","głet","aksing","voice","accent"
"aktor","autor","auczę","akczę","author","actor"
"aktualności","kanał","kaela","aktualnosworth","channel","news"
"aktywuj","spust","spaćt","aktytley","trigger","activate"
"alarm","alarm","alnam","alrem","alert","alarm"
"aleja","kąt","ont","colja","corner","alley"
"alfa","brawo","scowo","alpię","bravo","alpha"
"alibi","motyw","mobry","zmobi","motive","alibi"
"ameryka","afryka","zgroka","zdraryka","africa","america"
"analiza","sekcja zwłok","sekcja zliach","stwoliza","autopsy","analysis"
"apartament","dom","zym","zrzętament","house","apartment"
"aprobata","pozwolenie","postrzalenie","zgodbata","permission","approval"
"architekt","inżynier","inżyłość","archimsty","engineer","architect"
"aresztować","karać","kaczy","otrzytować","punish","arrest"
"armia","legion","lekieć","arter","legion","army"
"arogancja","ignorancja","chrirancja","szepgancja","ignorance","arrogance"
"artyleria","kawaleria","kawaległych","artyległych","cavalry","artillery"
"asystent","sekretarz","sekrekręć","lonstent","secretary","assistant"
"atak","inwazja","inwaciel","wiak","invasion","attack"
"atlantycki","pacyfik","pacystru","zgwałtycki","pacific","atlantic"
"atmosfera","środowisko","zgwałdowisko","wspólmosfera","environment","atmosphere"
"autobus","pociąg","pomisz","autociąg","train","bus"
"autorytet","jurysdykcja","jurysdykskiej","autoryznasz","jurisdiction","authority"
"autostrada","droga","berga","autoriachda","road","highway"
"awangarda","zwiastun filmu","chrzestun filmu","strogarda","trailer","van"
"babcia","dziadek","dzialas","możcia","grandfather","grandmother"
"badacz","analityk","analigram","badlić","analyst","investigator"
"badanie","badania","badajesz","badajesz","research","study"
"bar","klub","klvy","zir","club","bar"
"bardzo","niezwykle","niezwyszły","barbet","extremely","very"
"baseball","stadion","stadwie","basecond","stadium","baseball"
"batalion","pułk","puwd","batastal","regiment","battalion"
"bawełna","jedwab","jegnan","bazmiana","silk","cotton"
"bezpieczeństwo","bezpieczeństwo","bezpiestrzostwo","bezpiestrzostwo","security","safety"
"bezpieczne","bezpieczny","bezsłuszny","bezsłuszne","safe","secure"
"bezpośrednio","bezpośredni","bezpowspólni","bezpowzmocnio","direct","directly"
"bezsilny","bezradny","bezdziwny","bezzyczny","helpless","powerless"
"bezwartościowy","nieprzydatny","nieśmierdatny","bezkrzysztościowy","useless","worthless"
"bić się","walka","bitka","cwe się","combat","fight"
"biologia","chemia","pormia","biolowach","chemistry","biology"
"biologiczny","chemiczny","chestępny","biolosprawny","chemical","biological"
"bitwa","wojna","blina","biłów","war","battle"
"biznes","przemysł","przetwił","bizran","industry","business"
"błąd","błąd","błea","błfi","error","mistake"
"blisko","otwarty","mknięty","colsko","open","close"
"blizna","tatuaż","taturzuć","blibem","tattoo","scar"
"boczek","toast","totwe","boogey","toast","bacon"
"bogactwo","skarb","skinb","bobrentwo","treasure","wealth"
"bogaty","słaby","zniby","bospekty","poor","rich"
"ból","cierpienie","wstapienie","evl","suffering","pain"
"boska","bóg","ołg","botom","god","divine"
"boston","waszyngton","wascranton","boista","washington","boston"
"bracie","koleś","koese","zencie","dude","bro"
"brak","obecność","ogarność","wiak","presence","absence"
"brama","portal","krótal","zioma","portal","gate"
"brat","siostra","ilustra","łoat","sister","brother"
"broda","włosy","censy","złada","hair","beard"
"broń","pistolet","pistostać","łooń","pistol","weapon"
"bronić","chronić","wistnić","złanić","protect","defend"
"brudny","paskudny","pagielny","rządny","nasty","filthy"
"brzuszny","rdzeniowy","więźniowy","wzroczny","spinal","abdominal"
"brzydki","digustowanie","diguolśniewanie","zbrodki","digusting","ugly"
"budynek","wieża","dłuża","budydził","tower","building"
"budżetowy","bankowość","bankodusz","burynsztowy","banking","financial"
"burmistrz","szeryf","szecuz","gremistrz","sheriff","mayor"
"burza","wiatr","wimir","bulen","wind","storm"
"but","uruchomić","uruchotycz","ght","boot","shoe"
"butelka","szkło","rikło","bunostka","glass","bottle"
"całkowicie","absolutnie","absoochronie","wszelkowicie","absolutely","completely"
"cebula","czosnek","czokieœ","spróbula","garlic","onion"
"celowo","przypadkowo","współpadkowo","cesprawo","accidentally","intentionally"
"cena £","wartość","wartrem","celanż","value","price"
"centymetr","mila","minio","centysing","mile","centimeter"
"ceremonia","rytuał","rytuczej","ceremoczysz","ritual","ceremony"
"cesarz","cesarski","cerzymski","ceball","imperial","emperor"
"chirurgia","obsługiwać","obsługistrem","chirurłych","operate","surgery"
"chłopiec","dziewczyna","utrzyczyna","chłochac","girl","boy"
"chodź","przyjechać","przyjestra","chniź","arrive","come"
"choroba","grypa","wojpa","przeroba","flu","disease"
"chory","chory","riery","riery","ill","sick"
"chrześcijanin","katolicki","katocząstki","uwielścijanin","catholic","christian"
"chusteczka","płótno","pompno","chusdziadka","cloth","handkerchief"
"chwała","wspaniały","streniały","zjedła","glorious","glory"
"ciąć","łza","eea","cily","tear","cut"
"ciągnąć","naciskać","naciściu","trugnąć","push","pull"
"ciasto","deser","demol","cianes","dessert","cake"
"ciąża","narodziny","narotryczny","rówża","birth","pregnancy"
"ciekawe","ekscytujący","strzelcytujący","strakawe","exciting","interesting"
"ciemny","cień","cipu","nialny","shadow","dark"
"ciężko","ciężki","niówki","czynko","heavy","heavily"
"ciężko","trudny","tworny","czynko","tough","hard"
"ciśnienie","puls","puga","cimyślnie","pulse","pressure"
"cisza","cichy","ciwił","cicem","silent","silence"
"cmentarz","grób","groo","umożtarz","grave","cemetery"
"coś","nic","ęśc","ruś","nothing","something"
"ćwiczenie","ćwiczyć","utoczyć","głupczenie","practice","exercise"
"cygaro","palić","pasto","cyastero","smoke","cigar"
"cyniczny","naiwny","nachenny","cydzieny","naive","cynical"
"cyrk","ogród zoologiczny","stéphad zoologiczny","cyxa","zoo","circus"
"cywilizacja","kultura","ogratura","cywilizazdrosz","culture","civilization"
"czapka","okulary","szeplary","bracka","glasses","cap"
"czarny","biały","gnęły","tworny","white","black"
"czarodziej","magia","mascy","czaroszesz","magic","wizard"
"czarownica","przekleństwo","przesiąkstwo","czadziennica","curse","witch"
"czasopismo","lekkoduch","lekkoaper","czasopitwiać","playboy","magazine"
"cząstka","materiał","matebull","wiastka","matter","particle"
"czaszka","kość","ejść","siaczka","bone","skull"
"czekolada","cukier","cudlem","dźwiękolada","sugar","chocolate"
"często","czasem","czaili","częgię","sometimes","often"
"człowiek","człowiek","szerwiek","szerwiek","man","human"
"cztery","dwa","wha","wciery","two","four"
"czwarty","trzeci","wzroci","czyszty","third","fourth"
"czynność","aktywny","akczalny","uczuność","active","activity"
"daleko","blisko","colsko","dajabłko","near","far"
"dama","lord","loia","thoma","lord","lady"
"darowizna","dobroczynność","dobrozręczność","darowiniesz","charity","donation"
"dawać","oferta","okręta","darza","offer","give"
"definicja","pojęcie","pojętych","definiskiej","concept","definition"
"dekada","stulecie","kanclecie","dekawicz","century","decade"
"delikatny","miękki","ciutki","deliuliczny","soft","gentle"
"demokracja","wolność","ataność","demokradziez","freedom","democracy"
"demonstracja","protest","protraż","demonstraszysz","protest","demonstration"
"depresja","stres","mires","deprełach","stress","depression"
"detektyw","agent","nęent","deteksley","agent","detective"
"determinacja","odwaga","odwadzic","determinawrzesz","courage","determination"
"dezorientacja","chaos","dzios","dezwarsztacja","chaos","confusion"
"diabeł","anioł","annył","dianol","angel","devil"
"ding.","świst","elist","móng.","ping","ding"
"długi","krótki","kłamki","ścigi","short","long"
"długopis","papier","pagiąć","długorzam","paper","pen"
"długość","rozmiar","rozmond","silgość","size","length"
"dobrowolnie","wolontariusz","wolontadziec","dobrostycznie","volunteer","voluntarily"
"doceniać","podziwiać","podzidziu","doceland","admire","appreciate"
"dochód","zysk","ussk","docisk","profit","income"
"dodatkowy","dodatkowy","dostrzekowy","dostrzekowy","extra","additional"
"dokument","plik","pleb","dokurier","file","document"
"dolar","funt","fusa","dobył","pound","dollar"
"dolina","pustynia","purzutnia","wrażlina","desert","valley"
"dolny","najlepszy","najśpieszy","rajny","top","bottom"
"dowód","dowód","domił","dotwę","evidence","proof"
"drapieżnik","ofiara","uwięra","dratrawnik","prey","predator"
"drut","kabel","kadon","drwa","cable","wire"
"drzewo","krzak","krrok","wredwo","bush","tree"
"drzwi","okno","zono","driyi","window","door"
"duch","dusza","duble","durs","soul","spirit"
"dynamit","proch strzelniczy","wzmia strzelniczy","dynazłam","gunpowder","dynamite"
"dyrektor","producent","produzłam","dyrekścią","producer","director"
"dyskusja","rozmowa","alarmowa","dyskułach","conversation","discussion"
"dywan","piętro","pięnac","dyków","floor","carpet"
"działać","gest","gemą","dziasey","gesture","act"
"dzieciństwo","młodzież","młocznie","dziecińdził","youth","childhood"
"dziecko","dziecko","ścierko","ściemko","baby","child"
"dziedziczyć","dziedzictwo","dzieradztwo","dziedziwisz","heritage","inherit"
"dziękować","wdzięczny","wstrzykny","odłąkować","grateful","thank"
"dzielnica","hrabstwo","prinstwo","wspólnica","county","district"
"dziennikarz","reporter","reporskim","dzienniskim","reporter","journalist"
"dziewczyny","chłopcy.","chłopeby","utrzyczyny","boys","girls"
"dziwne","niezwykły","niezwymian","śnione","unusual","strange"
"dziwny","straszny","strzenny","rzędny","scary","creepy"
"dźwięk","hałas","hanil","dźwisz","noise","sound"
"edukacja","zdrowie","skręwie","głębkacja","health","education"
"efekt","wpływ","evływ","uwekt","influence","effect"
"efektywny","użyteczne","użydziane","rocztywny","useful","effective"
"eksplodować","pękać","pęles","eksgwiazdować","burst","explode"
"eksplozja","trzęsienie ziemi","śmieszsienie ziemi","eksamnezja","earthquake","explosion"
"elegancki","modny","anyny","eleskotki","fashionable","elegant"
"elektryczność","obecny","mienny","zmartryczność","current","electricity"
"elektryczny","magnetyczny","magnedzialny","zmartryczny","magnetic","electric"
"element","czynnik","uczunik","pełment","factor","element"
"emocjonalny","psychiczny","psyzmienny","twiercjonalny","mental","emotional"
"energia","moc","ońc","upewgia","power","energy"
"epidemia","plaga","abiga","skledemia","plague","epidemic"
"epizod","seria","sewaj","epikąp","series","episode"
"erekcja","orgazm","orback","skrecja","orgasm","erection"
"fajny","ciepły","ciekre","tulny","warm","cool"
"faks","poczta","punkta","faet","mail","fax"
"fałszywe","podróbka","podkartka","piększywe","fake","FALSE"
"fantastyczny","wspaniały","streniały","fantaklizmny","wonderful","fantastic"
"fantazja","rzeczywistość","rzeczywidziej","świętazja","reality","fantasy"
"fatalny","śmiertelnie","oskartelnie","faniczny","deadly","fatal"
"federacja","kolonia","kolodach","federadziec","colony","federation"
"festiwal","karnawał","karnanych","festistej","carnival","festival"
"film","porno","skuno","fiog","porn","movie"
"finansowanie","budżet","buśleń","fiespressowanie","budget","funding"
"finansowanie","materialnie","matewstydnie","fiespressowanie","financially","financing"
"fizyczny","seksualny","przyjsualny","fidzinny","sexual","physical"
"flota","morski","lijski","hekta","naval","fleet"
"fotograf","autograf","autolizm","fotonosc","autograph","photographer"
"francuski","język angielski","język angietrwasz","uciecuski","english","french"
"funkcjonalny","operacyjny","zniszracyjny","wspiecjonalny","operational","functional"
"gabinet","biurko","thorko","gabishop","desk","office"
"gabinet","gabinet","gabibisz","gabishop","cabinet","closet"
"galaktyka","wszechświat","wszechtriot","gamkniętyka","universe","galaxy"
"garaż","warsztat","warszelu","gazly","workshop","garage"
"gazeta","artykuł","artysiów","gazechce","article","newspaper"
"gdzieś","gdzie indziej","œwiet indziej","gdziaf","elsewhere","somewhere"
"gitara","fortepian","fortesurd","szantara","piano","guitar"
"głodny","zmęczony","stroczony","ogłuny","tired","hungry"
"głosować","większość","niejszość","piersować","majority","vote"
"głuchy","ślepy","tłupy","ciechy","blind","deaf"
"głupi","naiwny","nachenny","półpi","naïve","stupid"
"głupota","szaleństwo","szaleńkich","techpota","madness","stupidity"
"godność","duma","dułów","delność","pride","dignity"
"godny","zasługiwać","zasługiniesz","fryny","deserve","worthy"
"góra","wzgórze","dzierze","sysra","hill","mountain"
"gorączka","kaszel","kalien","gospłuka","cough","fever"
"górny","niżej","nisku","semny","lower","upper"
"goryl","małpa","zgapa","gobii","monkey","gorilla"
"gospodarz","najemca","nabrańca","gospovens","tenant","landlord"
"gra","bawić się","bawićmium","xha","play","game"
"gracz","trener","trekom","amacz","coach","player"
"gram","kilogram","kilostej","grif","kilo","gram"
"grecki","rzymski","wszyski","przeki","roman","greek"
"gruby","chudy","sardy","małby","thin","thick"
"grudzień","listopad","listotrzy","chodzień","november","december"
"grupa","banda","groda","rzepa","gang","group"
"grzmot","błyskawica","uszkoskawica","grboot","lightning","thunder"
"gwiazda","sława","górwa","wieczda","celebrity","star"
"gwizdać","klakson","slonson","clindać","horn","whistle"
"halucynacja","iluzja","umozja","halucynazwiesz","illusion","hallucination"
"hamburger","kanapka","kaśrodka","oszaburger","sandwich","hamburger"
"harmonia","balansować","bathompsować","trzymonia","balance","harmony"
"harmonogram","kalendarz","kalenmiać","harmonothing","calendar","schedule"
"hasło","kod","izd","hanin","code","password"
"heroina","kokaina","kokalach","herosach","cocaine","heroin"
"hiv","aids","aihu","akv","aids","hiv"
"hojny","współczujący","tłuszczujący","fikny","compassionate","generous"
"homar","tuńczyk","rąbczyk","hoing","tuna","lobster"
"honor","przywilej","dziewilej","hodre","privilege","honor"
"hrabina","baron","basem","johnbina","baron","countess"
"idealny","ideał","błoał","funkalny","ideal","perfect"
"idiota","oszukać","oszules","chwata","fool","idiot"
"ilość","suma","perma","ubość","sum","amount"
"imperium","dynastia","dynaball","impetach","dynasty","empire"
"imponować","pochlebiać","poszłybiać","imponoksięż","flatter","impress"
"impreza","przyjęcie","dziejęcie","imzwiaza","reception","party"
"indyk","kurczak","kurkłaś","insos","chicken","turkey"
"indywidualny","osoba","milba","indywiduwdzięczny","person","individual"
"infekcja","wirus","wilio","instancja","virus","infection"
"informacja","dane","tywne","informathers","data","information"
"informator","źródło","kundło","informaczysz","source","informant"
"inny; różny","podobny","poręczny","inny; rśniam","similar","different"
"inspiracja","inspirować","indiachrować","inprzedracja","inspire","inspiration"
"instrument","narzędzie","narzętach","infragment","tool","instrument"
"inteligentny","mądry","mąmuj","intelistraszny","smart","intelligent"
"intuicja","instynkt","instrict","intusard","instinct","intuition"
"intymny","osobisty","osobiciem","inanalny","personal","intimate"
"inwestor","bankier","banrzej","inwemyśl","banker","investor"
"inwestować","finanse","fiexcuse","inweogrzewać","finance","invest"
"ironiczny","ironia","hienia","iroczalny","irony","ironic"
"iść","wchodzić","ignodzić","cmć","enter","go"
"jądrowy","atomowy","ogólmowy","jąchliwy","atomic","nuclear"
"jajko","gniazdo","gruszdo","gonko","nest","egg"
"jakość","ilość","kność","jakłem","quantity","quality"
"jasny","połysk","pobrok","jawił","shine","bright"
"jaszczurka","żaba","żanek","oklaczurka","frog","lizard"
"jazda","prowadzić","prowariat","cwada","drive","ride"
"jedna czwarta","połowa","pomniawa","jednazwiskrta","half","quarter"
"jeść","karmić","karchi","jebe","feed","eat"
"jesień","wiosna","wiołem","jetnie","spring","autumn"
"jezioro","rzeka","gruka","jechacro","river","lake"
"julia","romeo.","romógl","jugan","romeo","juliet"
"junior","senior","senand","judish","senior","junior"
"kaczka","gęś","yoś","nantka","goose","duck"
"kamień","głaz","głup","kakłeś","rock","stone"
"kapelusz","kask","kałą","kapeufać","helmet","hat"
"kapitalizm","anarchia","anarashi","kapitaśmach","anarchy","capitalism"
"kapitan","dowódca","dotknęca","kapiciem","commander","captain"
"kapłan","mnich","koich","kadang","monk","priest"
"kaplica","kościół","komścij","kazachca","church","chapel"
"kardynał","biskup","bisizm","kardyczyc","bishop","cardinal"
"kartel","mafia","maszu","karnię","mafia","cartel"
"kawa","filiżanka","filidziecka","stowa","cup","coffee"
"kazanie","przemówienie","współmówienie","kazatrzy","speech","sermon"
"kciuk","palec","pacik","sgiuk","finger","thumb"
"kelnerka","kelner","ofiner","chwynerka","waiter","waitress"
"kemping","piknik","todnik","złąping","picnic","camping"
"kierowca","pasażer","pasatrow","kiestępca","passenger","driver"
"kłamca","kłamać","kłatra","skomca","lie","liar"
"klasyczny","typowy","typochod","klatworny","typical","classic"
"klasztor","sierociniec","sierociskasz","prosztor","orphanage","convent"
"klasztor","świątynia","wkłatynia","prosztor","temple","monastery"
"klejnot","diament","lopment","klejrez","diamond","jewel"
"klient","pacjent","pachand","klnęnt","patient","client"
"klinika","szpital","wspatal","opłanika","hospital","clinic"
"kobieta","wdowa","bucwa","kogranta","widow","woman"
"kochanek","kochanka","koniutka","kodzionek","mistress","lover"
"kolano","ramię","razek","koprzyno","shoulder","knee"
"komedia","dramat","drakin","komeżysz","drama","comedy"
"komisarz","inspektor","inproctor","komicisk","inspector","commissioner"
"komisja","zamawiać","zamadłem","komiłach","commission","committee"
"kompletny","całkowity","śmietkowity","komzgodny","total","complete"
"komputer","oprogramowanie","grzeszgramowanie","kompuscic","software","computer"
"komunikacja","nawigacja","nawigabriel","komunikadziesz","navigation","communication"
"komunistyczny","rasistowski","rasidziejski","komuniświetlny","racist","communist"
"koń","osioł","oskół","zań","donkey","horse"
"koncentrować się","centrum","centarł","koncentrowaćszczyt","focus","concentrate"
"koncert","wycieczka","wyrzyszka","kondrei","tour","concert"
"koniak","rum","alm","korzać","rum","cognac"
"koniec","koniec","kovich","koszet","end","finish"
"konserwacja","usługa","spluga","konserwaszyng","service","maintenance"
"konstytucja","prawo","zerwo","konstytuarium","law","constitution"
"kontrola","badanie","badajesz","konśmiela","examination","inspection"
"kontyntynuj","kontynuować","kontynustrze","kontyntysięcz","proceed","continue"
"kopiuj","oryginalny","uczciginalny","kokies","original","copy"
"korporacja","spółka","szanka","dzienporacja","company","corporation"
"kot","pies","piął","unt","dog","cat"
"kowboj","rodeo","roxbu","kowtay","rodeo","cowboy"
"kreatura","potwór","poriów","kreichira","monster","creature"
"kreatywność","wyobraźnia","wyomdlenia","krepiękność","imagination","creativity"
"król","królowa","ustalowa","krśi","queen","king"
"królestwo","królewski","króchiński","królewych","royal","kingdom"
"królik","lis","rps","krókły","fox","rabbit"
"kropka","faza","fałeś","dzonka","phase","period"
"krupon","tyłek","tysie","kruoko","ass","butt"
"kryminalista","złodziej","złodrzeć","uczniaminalista","thief","criminal"
"kryzys","sytuacja","sytutwił","kryitą","situation","crisis"
"krzesło","stół","styz","krzegię","table","chair"
"książę","księżniczka","skromniczka","klamżę","princess","prince"
"książka","biblia","biliot","dziejka","bible","book"
"kuchenka","piekarnik","piekarsten","kuszyjka","oven","stove"
"kupiec","reklama w telewizji","reklama w telechlebstw","kuther","commercial","merchant"
"kupujący","sprzedawca","współdawca","szczepujący","seller","buyer"
"kurtka","koszula","kochwila","bratka","shirt","jacket"
"kuzyn","względny","wzroczny","kuimi","relative","cousin"
"kwatera główna","baza","gnoza","kwatera głóchciej","base","headquarters"
"kwiat","zakład","zakiet","kwest","plant","flower"
"ładunek","załaduj","załazien","ładuchow","load","cargo"
