"ro_target","ro_cue","ro_fake_cue","ro_fake_target","en_cue","en_target"
"paragraf","secțiune","secventne","parachii","section","paragraph"
"paranormal","supranatural","suemoţionatural","paranorseşti","supernatural","paranormal"
"parfum","ruj","anj","pardeț","lipstick","perfume"
"parola","cod","owd","paînşela","code","password"
"parte","recepţie","recerici","reste","reception","party"
"particulă","materie","matenesc","obiecticulă","matter","particle"
"pașaport","bilet","bioşi","pașarand","ticket","passport"
"pasăre","fluture","pierture","panieire","butterfly","bird"
"pasiune","entuziasm","entuzigriji","paratine","enthusiasm","passion"
"pat","canapea","canatron","zit","sofa","bed"
"patru ani","două","dovid","patrulumb","two","four"
"patrulare","gardian","gartism","parohialare","guard","patrol"
"pauză","lovitura","lostructura","furtuză","smash","break"
"pedeapsa cu închisoarea","penalizare","penalizaremorchea","dezgroapedeapsa cu închisoarea","penalty","imprisonment"
"penal","hoţ","iuţ","pelei","thief","criminal"
"penis","vagina","energina","peuti","vagina","penis"
"pentru totdeauna","etern","etcon","pendenţiitdeauna","eternal","forever"
"perfect","ideal","shoal","pernţat","ideal","perfect"
"performanţă","spectacol","arantacol","perforparzi","show","performance"
"pericol","risc","riod","peririți","risk","danger"
"periculos","riscant","avocant","pericurenţi","risky","dangerous"
"perimetru","rază","racol","perimeneşti","radius","perimeter"
"perioadă","fază","famie","perioakwood","phase","period"
"personalitate","caracter","calobster","transpisonalitate","character","personality"
"perspectivă","vedere","olandere","perchristivă","view","perspective"
"perturba","întrerupe","înmulţirupe","perspecba","interrupt","disturb"
"pescuit","vânătoare","vânăciunire","francuit","hunting","fishing"
"peşte","rechin","resuan","înote","shark","fish"
"petrece","deşeuri","deşedar","peinacce","waste","spend"
"piatră","rock","roney","lomtră","rock","stone"
"pictor","artist","ardian","rşetor","artist","painter"
"pilot","astronaut","astrocâie","pimel","astronaut","pilot"
"pilulă","comprimat","aproprimat","pilucrat","tablet","pill"
"pisică","câine","tilne","pisibili","dog","cat"
"pix","hârtie","pamtie","cax","paper","pen"
"placut","confortabil","condreaptabil","plator","comfortable","pleasant"
"planificare","pregătirea","pregătiglonţ","dezvolnificare","preparation","planning"
"plastic","ciment","cideti","gnostic","cement","plastic"
"plauzibil","explicaţie","explicabluri","monmouzibil","explanation","plausible"
"plecare","sosire","agresire","echicare","arrival","departure"
"plimbare","conduce","străduce","deţibare","drive","ride"
"plimbare","pui de somn","pui dsomnii","deţibare","nap","stroll"
"poartă","portal","destal","prântă","portal","gate"
"poem","text","tenh","ponoa","text","poem"
"poker","jocuri de noroc","jocuri de cienţii","poran","gambling","poker"
"politic","critic","mantic","polibrat","critical","political"
"politică","jurnalism","jurnachii","poatractică","journalism","politics"
"politician","politică","postructică","politiseşti","policy","politician"
"porc","vacă","născă","podi","cow","pig"
"port","dafin","dalec","pogs","bay","harbor"
"portocale","verde","epide","transtocale","green","orange"
"portofel","buzunar","buzuiesc","portoshaw","pocket","wallet"
"posibilitate","şansă","clăsă","posibilitatebracci","chance","possibility"
"poziţie","stare","aiure","pozituri","status","position"
"practic","literalmente","litenenţiimente","atratic","literally","practically"
"prădător","pradă","gendă","prădăreas","prey","predator"
"praf","frasin","adesin","pruk","ash","dust"
"predică","vorbire","elecbire","scandică","speech","sermon"
"premiu","nobel","noşit","prekon","nobel","prize"
"preot","călugăr","călulung","disot","monk","priest"
"presa","buton","buşim","loasa","button","press"
"președinte","cancelar","canceresc","preșeplătite","chancellor","president"
"presiune","puls","puag","prezentne","pulse","pressure"
"presupunere","concluzie","concludeau","dezvolsupunere","conclusion","assumption"
"preț","valoare","vapierre","prșc","value","price"
"prieteni","coleg","coram","desfăeteni","colleague","friend"
"prietenie","relaţie","relaturi","prietelepti","relationship","friendship"
"prietenos","politicos","polititiuni","prietelepti","polite","friendly"
"primar","secundar","segrăjdar","prives","secondary","primary"
"primar","şerif","şejah","prives","sheriff","mayor"
"prinţ","prinţesă","tranzasă","prmoţ","princess","prince"
"prizonier","ostatic","ostajezi","desfăzonier","hostage","prisoner"
"probabil","pot fi","swe fi","probanezi","maybe","probably"
"probabil","probabilitate","avanseababilitate","probanezi","probability","likely"
"problemă","probleme","protraume","proreasmă","trouble","problem"
"procedură","proces","proggy","manâncedură","process","procedure"
"proces","auz","kiz","proput","hearing","trial"
"procuror","avocat","bircat","procuduci","lawyer","prosecutor"
"producție","fabrică","fatoarcă","productori","factory","production"
"produs","marca","blica","proiam","brand","product"
"profesional","amator","ghitor","proferenţenal","amateur","professional"
"profesor","decan","detri","profetrul","dean","professor"
"profesor","student","stuteam","profetrul","student","teacher"
"program","proiect","proşeli","progani","project","program"
"programa","calendar","castiudar","proafirma","calendar","schedule"
"promisiune","garanție","garanduri","promicrobine","guarantee","promise"
"proprietar","chiriaş","nigeriaş","propriesenţi","tenant","landlord"
"proprietar","proprietate","dezmemprietate","propriesenţi","property","owner"
"prosop","pătură","cheltură","proxis","blanket","towel"
"prost","naiv","natä","pragt","naïve","stupid"
"prostie","nebunie","nebujori","trictie","madness","stupidity"
"protocol","regulă","regurați","protoieri","rule","protocol"
"prototip","model","mociu","protojări","model","prototype"
"provocare","obstacol","obstagger","schimvocare","obstacle","challenge"
"psihologic","medical","medinist","psiholoteşti","medical","psychological"
"psihologie","anatomie","anatotari","psiholoneşti","anatomy","psychology"
"public","mulțime","esențime","putili","crowd","audience"
"punte","cabină","cabitori","târte","cabin","deck"
"puternic","cu fermitate","cu fermitgământ","pupraznic","firmly","strongly"
"puternic","greu","grop","pupraznic","heavy","heavily"
"raccoon","veveriţă","vechiulriţă","racroși","squirrel","raccoon"
"rachetă","rachetă","rabilită","rabilită","rocket","missile"
"radiații","contaminare","ndreaptaminare","radiapãrat","contamination","radiation"
"rămâne","stau","stld","străne","stay","remain"
"rănire","răni","dini","cţiunire","wound","injury"
"răpi","răpi","răsy","răsy","kidnap","abduct"
"rapid","încet","înlzi","ragut","slow","fast"
"rareori","ocazional","rămâzional","raresley","occasionally","rarely"
"rasă","maraton","marajezi","rariu","marathon","race"
"răscumpărare","răpit","răren","răsplătitpărare","kidnapper","ransom"
"răspuns","răspuns","răsmânt","răsdang","answer","reply"
"rață","gâscă","dincă","uliță","goose","duck"
"rău","bun","îmn","juu","good","bad"
"războinic","soldat","omodat","schimboinic","soldier","warrior"
"reactor","generator","generaţiuni","reaccess","generator","reactor"
"real","adevărat","adevălesc","pţial","TRUE","real"
"realist","optimist","optiffer","reatori","optimistic","realistic"
"rece","fierbinte","fierpleşite","repro","hot","cold"
"recent","doar","riar","recuti","just","recently"
"recomanda","sfat","hyat","recoiscoada","advice","advise"
"recompensă","primă","asemă","recomntoarsă","bonus","reward"
"recunoștință","ospitalitate","ospitalitatebracci","dezminţirecunoștință","hospitality","gratitude"
"reduce","crește","coarte","recţioce","increase","reduce"
"rege","regină","regitimi","conge","queen","king"
"reîmprospăta","proaspăt","proastop","reîmblânzipăta","fresh","refresh"
"religie","filozofie","filozonanţă","relituri","philosophy","religion"
"remarcabil","excepţional","excerinţenal","remarcaffrey","exceptional","remarkable"
"reparație","fixați-l","fixablei","reparaswati","fix","repair"
"repede","încet","înlzi","reolande","slowly","quickly"
"reputatie","carieră","cauşoară","reputamorfi","career","reputation"
"restaurant","pub","wob","restauthern","pub","restaurant"
"revistă","joaca baiete","joaca bailanski","refruntă","playboy","magazine"
"rezonabil","fair","fama","rezonaneşti","fair","reasonable"
"rezultat","rezultat","reprentat","reavortat","result","outcome"
"rob","fura","fuzio","umb","steal","rob"
"rochie","fusta","satta","roghez","skirt","dress"
"roma","cezar","ceţit","farma","caesar","rome"
"romantic","dramatic","afirmatic","romanners","dramatic","romantic"
"roșie","cartof","carcăr","roträ","potato","tomato"
"roti","turn","tuje","lesti","turn","rotate"
"s-au cunoscut","recunoaşte","dezminţirecunoaşte","sau cunoderni","recognize","knew"
"sabotaj","spionaj","spioperi","sabolent","espionage","sabotage"
"sac","cutie","cufun","tuc","box","bag"
"sacou","cămaşă","cămament","sadid","shirt","jacket"
"salariu","pensiune","pendentne","salatați","pension","salary"
"salată","supă","suler","samenttă","soup","salad"
"salut","va felicit","va felgrezi","safos","congratulate","greet"
"salva","salvare","prinvare","menva","rescue","save"
"salvator","erou","erab","prinvator","hero","savior"
"șampanie","vin","ign","aculpanie","wine","champagne"
"samurai","ninja","sârja","samumont","ninja","samurai"
"şantaj","mită","părtă","şansha","bribe","blackmail"
"săptămână","lună","luţul","săpsplină","month","week"
"săptămânal","zilnic","gărnic","săpeternal","daily","weekly"
"sarcina","naștere","clovtere","eleccina","birth","pregnancy"
"sârmă","cablu","cadah","imumă","cable","wire"
"şarpe","vierme","viadulme","nonpe","worm","snake"
"sat","tabără","tagliară","nct","camp","village"
"satelit","radar","ramie","sateresc","radar","satellite"
"scandal","bârfă","itafă","scangle","gossip","scandal"
"scaun","masa","ponsa","preun","table","chair"
"şcoală","clasă","gămsă","ştiulă","class","school"
"scrie","citit","cipăm","ririe","read","write"
"scriitor","poet","poron","chelitor","poet","writer"
"scris","citind","cifici","sccăs","reading","writing"
"scrisoare","telegramă","teleziunimă","chelsoare","telegram","letter"
"scuză","iartă","erută","croză","forgive","excuse"
"seară","noapte","ngrite","pulră","night","evening"
"sediu","baza","batrâ","sefat","base","headquarters"
"șeful","administrator","administracţiuni","șeuri","manager","boss"
"selectați","alege","munge","selecford","choose","select"
"semn","formă","asemă","seaf","form","sign"
"semnal","frecvență","afirvență","garnal","frequency","signal"
"semnătură","timbru","irebru","montanătură","stamp","signature"
"senat","parlament","parlatori","serin","parliament","senate"
"senator","guvernator","guacţionator","senament","governor","senator"
"sensibil","delicat","delippov","agresibil","delicate","sensitive"
"sentiment","impresie","impretesc","sentitori","impression","feeling"
"seringă","ac","rm","sezinţi","needle","syringe"
"servitoare","nanny","opuny","serviziunire","nanny","maid"
"servitorul","sclav","scârv","transvitorul","slave","servant"
"sete","foame","săpme","tante","hunger","thirst"
"sfert","jumătate","juorientate","dyert","half","quarter"
"sifon","limonadă","liinundă","sipul","lemonade","soda"
"sigur","sigur","sireţ","sisan","safe","secure"
"siguranță","securitate","seminţiaritate","sigudiuriță","security","safety"
"simbol","steag","strâg","simviş","flag","symbol"
"simplu","pur şi simplu","pur şi sginţi","simgus","simply","simple"
"sincer","decent","decuti","sindus","decent","honest"
"sindrom","simptom","simpgre","sincrie","symptom","syndrome"
"singuratic","singur","sinţat","singuraseste","alone","lonely"
"sistem","reţea","renoa","sisdia","network","system"
"slab","puternic","pupraznic","slup","strong","weak"
"slănină","paine prajita","paine prajproşez","avannină","toast","bacon"
"sniper","shooter","aparoter","betper","shooter","sniper"
"soare","luna","lutio","caure","moon","sun"
"şobolan","mouse","furtuse","şoboford","mouse","rat"
"solar","lunar","lucim","sonii","lunar","solar"
"sondă","capsulă","pleasulă","bisdă","capsule","probe"
"şopârlă","broască","enească","şoscoală","frog","lizard"
"sos","cremă","digmă","ebs","cream","sauce"
"soție","soț","inț","souri","husband","wife"
"spaghete","lasagna","laeterna","spatialte","lasagna","spaghetti"
"spalare","curat","cuţii","înşelare","clean","wash"
"spate","față","tință","brite","front","rear"
"specialist","expert","excard","speciaruri","expert","specialist"
"spectaculos","senzaţional","senzathrasnal","desfătaculos","sensational","spectacular"
"speranța","cuvânt","cumens","speschița","word","sentence"
"speria","a speria","a sphaps","specţi","scare","frighten"
"spirit","suflet","sugels","lhărit","soul","spirit"
"sport","hobby","hobiesc","reort","hobby","sport"
"spune","spune","biene","itine","say","tell"
"sta","stand","stred","mna","stand","sit"
"stânga","dreapta","greşita","specga","right","left"
"stat","federal","fedefini","reat","federal","state"
"statie","platformă","huliformă","rantie","platform","station"
"statuie","monument","monucşoa","prostuie","monument","statue"
"stea","celebritate","celedezvoltate","tuea","celebrity","star"
"sticla","sticlă","stifez","stinay","glass","bottle"
"știi","acum","acrã","zhii","now","know"
"ştiinţă","tehnologie","chrisnologie","lipinţă","technology","science"
"stil","ritm","rimp","stun","rhythm","style"
"știri","canal","cales","wyiri","channel","news"
"stop","împiedica","îmbracidica","strs","prevent","stop"
"stradă","bulevard","bulepoli","monadă","avenue","street"
"străin","ozn","șin","autoin","ufo","alien"
"strategie","plan","ţian","noastegie","plan","strategy"
"structura","piramidă","piramisiuni","desfitura","pyramid","structure"
"studiu","cercetare","transcetare","bradiu","research","study"
"subiect","obiect","obuzct","subrist","object","subject"
"substitui","a inlocui","a inldion","substicesc","replace","substitute"
"suc","lapte","olite","asc","milk","juice"
"suficient","suficient","sufidenţi","suficanţi","enough","sufficient"
"sugera","propune","scalpune","plângera","propose","suggest"
"sunet","zgomot","plãmot","sural","noise","sound"
"superior","inferior","instrucrior","superiseste","lower","upper"
"suprafaţă","strat","stânt","sunightfaţă","layer","surface"
"supravieţui","trăi","trșe","supravitress","live","survive"
"surd","orb","tib","suța","blind","deaf"
"sursa de venit","profit","protry","sursa de ghorns","profit","income"
"sus","jos","căs","rls","down","up"
"suspect","îndoială","înpreţuială","susmeai","doubt","suspect"
"sută","mie","tue","sugru","thousand","hundred"
"tăcere","tăcut","tăzie","inaccere","silent","silence"
"talent","potenţial","poneţulal","talism","potential","talent"
"tata","unchiul","untains","dista","uncle","dad"
"tată","mamă","masli","tarea","mother","father"
"teatru","cinema","ciafirma","lontru","cinema","theater"
"tehnică","metodă","metocrat","scannică","method","technique"
"telefon","apel","tiel","telenard","call","telephone"
"televiziune","radio","ranah","televimontagne","radio","television"
"temperatura","căldură","odihdură","farscaperatura","heat","temperature"
"temporizator","detonator","detonalisti","răzgânporizator","detonator","timer"
"tenis","golf","goow","tetei","golf","tennis"
"teorie","idee","idlt","teoteci","idea","theory"
"test","experiment","experinichi","teță","experiment","test"
"țesuturi","piele","serle","țesucesc","skin","tissue"
"ţigară","tutun","leiun","aprogară","tobacco","cigarette"
"tine minte","a uita","a udali","tine miplist","forget","remember"
"tineri","vechi","vefui","tifici","old","young"
"titlu","nume","nurat","tilye","name","title"
"toamnă","primăvară","adoarmăvară","fortnă","spring","autumn"
"tornadă","uragan","opogan","schuadă","hurricane","tornado"
"tort","desert","dethat","tosu","dessert","cake"
"tortura","chin","blin","cheltura","torment","torture"
"trabuc","fum","uim","trazir","smoke","cigar"
"trădător","spion","calon","trădădeai","spy","traitor"
"tradiţional","modern","mokels","tradivorţanal","modern","traditional"
"trage","apăsați","apăseam","conge","push","pull"
"trage","lovitură","lostructură","conge","shot","shoot"
"tragic","trist","trhit","tralei","sad","tragic"
"transfer","mișcare","fraccare","transgit","move","transfer"
"transmiţător","senzor","senari","mulţumiţător","sensor","transmitter"
"tratament","terapie","terazati","tratabili","therapy","treatment"
"trecut","viitor","viinici","noscut","future","past"
"trei","unu","biu","trul","one","three"
"trimite","aduce","torce","islamite","bring","send"
"triplu","dubla","avala","trique","double","triple"
"triunghi","cerc","celk","tricurgi","circle","triangle"
"tron","coroană","codemână","fton","crown","throne"
"tunel","pod","hed","tulam","bridge","tunnel"
"tunet","fulger","fulbri","tulăm","lightning","thunder"
"ucide","otravă","sprivă","prede","poison","kill"
"uimitor","impresionant","impresiotrezi","uiminati","impressive","amazing"
"ulei","cărbune","plasbune","văei","coal","oil"
"ultimul","primul","pricii","ultiinţe","first","last"
"uman","om","lã","kran","man","human"
"umed","uscat","ussef","umfu","dry","wet"
"undeva","în altă parte","în altă pcleşug","unechiva","elsewhere","somewhere"
"unic","special","spechow","unty","special","unique"
"uniformă","insigna","introvna","straformă","badge","uniform"
"universitate","colegiu","coleceţi","dezvolversitate","college","university"
"unt","miere","israere","şit","honey","butter"
"urât","digunting","digunseste","urej","digusting","ugly"
"ureche","ochi","blhi","bhache","eye","ear"
"urină","sânge","varge","glonă","blood","urine"
"urmarire","urma","urţii","urmapanzere","follow","chase"
"uşă","fereastră","fecioatră","sfă","window","door"
"ușoară","întuneric","întuneplăti","speară","darkness","light"
"uşor","imposibil","imposilenţi","ipor","impossible","easy"
"utilizare","aplica","aresca","desfălizare","apply","use"
"vacanţă","crăciun","derciun","vatanþã","christmas","holiday"
"vaccin","antidot","antileri","plãcin","antidote","vaccine"
"vale","deşert","detart","comle","desert","valley"
"valiză","servietă","transvietă","valitati","briefcase","suitcase"
"vampir","zombie","visbie","vamtee","zombie","vampire"
"van","remorcă","recorte","ovn","trailer","van"
"vanilie","scorţişoară","atenţişoară","vaninesc","cinnamon","vanilla"
"vânzare","licitaţie","licitarasti","cheazare","auction","sale"
"vărul","relativ","relament","văţia","relative","cousin"
"veniți","ajunge","acorge","vedari","arrive","come"
"ventilare","supapă","supasesc","christilare","valve","ventilation"
"venus","marte","sulte","vemez","mars","venus"
"verifica","verifica","verisesteca","verisesteca","check","verify"
"victorie","câştig","câşpes","scortorie","gain","win"
"video","dvd","ald","vivil","dvd","video"
"vinde","cumpără","apropără","bomde","buy","sell"
"vindeca","recupera","reaproapera","alerdeca","recover","heal"
"vinovat","nevinovat","nevinodămân","vinorând","innocent","guilty"
"vis","coșmar","ăžnmar","ams","nightmare","dream"
"vitamina","proteină","damenteină","vimulţumina","protein","vitamin"
"viteză","distanţă","disrinţe","viprinză","distance","speed"
"viziune","revelatie","revelakesho","vichelne","revelation","vision"
"vodcă","whisky","ilusky","stycă","whiskey","vodka"
"vorbi","vorbi","evabi","musbi","talk","speak"
"vot","majoritate","marţieniritate","ust","majority","vote"
"vrăjitoare","blestem","avertem","domnijitoare","curse","witch"
"vrednic","merita","meneasta","aceanic","deserve","worthy"
"vreodată","nu","dy","acusdată","never","ever"
"watson","sherlock","exhulock","akason","sherlock","watson"
"web","internet","intermain","năb","internet","web"
"western","southern","souteţul","goltern","southern","western"
"wizard","magie","masea","wiborn","magic","wizard"
"zăpadă","ploaie","scraie","ghimpadă","rain","snow"
"zbor","aterizare","domnirizare","vuor","landing","flight"
"zdrobi","zgârietură","răsfăetură","dhrobi","scratch","bruise"
"zi de nastere","aniversare","strânversare","zi de nasfrângi","anniversary","birthday"
"ziar","articol","artilezi","ziby","article","newspaper"
"zona","zonă","ceană","merna","area","zone"
