"zh_cue","zh_target","zh_fake_cue","zh_fake_target","en_cue","en_target"
"实际上","真的","不子","工警","actually","really"
"钦佩","欣赏","細攜","角刷","admire","appreciate"
"代理人","侦探","索參","續候","agent","detective"
"艾滋病","艾滋病病毒","撤教","刀過","aids","hiv"
"空气","氧","主水","體意","air","oxygen"
"酒精","药品","輕子","勒石","alcohol","drug"
"允许","让","樸鑑","被滴","allow","let"
"独自的","孤独","舊子","如機","alone","lonely"
"已经","仍然","宏止","殉繫","already","still"
"总是","不断地","叱詳","史擊","always","constantly"
"大使","部长","選苦","孽區","ambassador","minister"
"救护车","直升机","存養","骨攀","ambulance","helicopter"
"天使","魔鬼","同確","務賓","angel","devil"
"匿名的","未知","注躋","題染","anonymous","unknown"
"解毒剂","疫苗","方僕","獸簡","antidote","vaccine"
"申请","采用","投景","貴救","apply","use"
"到达","来","網行","長磁","arrive","come"
"伪影","奖章","奇休","然分","artifact","medallion"
"吸引人的","迷人","用科","鍵進","attractive","charming"
"作者","演员","瘦貴","打曆","author","actor"
"签名","摄影师","藥魅","心着","autograph","photographer"
"尸检","分析","潮道","超獲","autopsy","analysis"
"香蕉","草莓","賭飽","官政","banana","strawberry"
"银行家","投资者","徵毀","越凌","banker","investor"
"银行业","金融的","文蔗","箱通","banking","financial"
"湾","港口","繳枝","刻方","bay","harbor"
"兽","动物","酸臉","手橋","beast","animal"
"蜜蜂","蚂蚁","戰族","孫趕","bee","ant"
"诞生","怀孕","毒點","狗著","birth","pregnancy"
"男孩们","女孩们","認願","日型","boys","girls"
"布拉沃","阿爾法","高國","認語","bravo","alpha"
"公文包","手提箱","修藤","苦微","briefcase","suitcase"
"棕色的","蓝色","著凸","詭積","brown","blue"
"舱","甲板","部領","眼說","cabin","deck"
"口径","子弹","不蝌","步藝","caliber","bullet"
"称呼","电话","莽讓","置魂","call","telephone"
"狂欢","节日","飯掩","穿戲","carnival","festival"
"天主教","基督教","商斃","菜打","catholic","christian"
"名人","星星","稱擊","蜜多","celebrity","star"
"水泥","塑料","演謀","斷量","cement","plastic"
"冠军","战斗机","關態","黑着","champion","fighter"
"校长","总统","了病","剛子","chancellor","president"
"改变","改进","養殯","古臥","change","improvement"
"渠道","消息","色動","花敲","channel","news"
"芯片","设备","處玫","看解","chip","device"
"圣诞节","假期","鏽戰","空立","christmas","holiday"
"干净的","洗","求倒","實場","clean","wash"
"清楚地","明显地","細插","殺殞","clearly","obviously"
"布","手帕","獵笑","出見","cloth","handkerchief"
"云","多雾路段","像商","底射","cloud","fog"
"教练","播放器","表察","腸策","coach","player"
"煤炭","油","發警","怨密","coal","oil"
"棺材","葬礼","變怒","進登","coffin","funeral"
"战斗","斗争","念手","禁塵","combat","fight"
"自在","令人愉快的","花學","親不","comfortable","pleasant"
"命令","命令","向間","字葉","command","order"
"商业的","商人","搶張","上況","commercial","merchant"
"竞赛","锦标赛","巨舉","鼻叔","competition","championship"
"抱怨","指控","心羊","酒閉","complaint","accusation"
"忧虑","担心","巧遞","出搗","concern","worry"
"结论","假设","聲搵","涉將","conclusion","assumption"
"祝贺","迎接","感下","除芳","congratulate","greet"
"考虑","思考","勘卜","先聰","consider","think"
"建造","建造","做堡","咐掉","construction","build"
"包含","内容","利一","賊酸","contain","content"
"控制","操纵","社蟲","行拘","control","manipulate"
"角落","胡同","實守","妒速","corner","alley"
"数数","计算","恨值","徵抗","count","calculate"
"覆盖","隐藏","惡閒","手谷","cover","hide"
"裂缝","洞","礙木","食視","crack","hole"
"奶油","酱","意員","少常","cream","sauce"
"创建","生产","廁暢","風墮","create","produce"
"创建","毁灭","白挨","人譯","creation","destruction"
"危急","政治的","聽局","體觀","critical","political"
"王冠","王座","刑指","肺假","crown","throne"
"当前的","电","持標","齦性","current","electricity"
"爸","妈","狂貨","漏狀","daddy","mum"
"黑暗","光","至行","袒茗","darkness","light"
"死亡","消失","習諱","朱佩","death","disappearance"
"体面的","诚实的","徑調","藍典","decent","honest"
"描述","表示","壓底","答飯","describe","express"
"沙漠","谷","乘瞞","勸盈","desert","valley"
"欲望","希望","消降","雅出","desire","wish"
"探索","丑陋的","德念","救膠","digusting","ugly"
"距离","速度","怕慵","酒擊","distance","speed"
"怀疑","怀疑","機印","預輕","doubt","suspect"
"下","向上","歲評","族底","down","up"
"龙","狮子","逃獎","考冷","dragon","lion"
"戏剧性","浪漫的","譯打","記細","dramatic","romantic"
"降低","啜","受敗","柵讚","drop","sip"
"地震","爆炸","出後","皮住","earthquake","explosion"
"别处","某处","亡利","崩神","elsewhere","somewhere"
"大使馆","部","切機","伸形","embassy","ministry"
"结尾","结束","簽大","間講","end","finish"
"足够的","充足的","敬髓","見情","enough","sufficient"
"进入","走","外過","曲落","enter","go"
"信封","包裹","工配","進拌","envelope","package"
"永恒","永远","鑿無","快舌","eternal","forever"
"邪恶","残酷","存尋","抽要","evil","cruelty"
"检查","调查","妻得","護讀","examine","investigate"
"优秀","伟大的","登價","有咱","excellent","great"
"极其","非常","飯料","光嬰","extremely","very"
"工厂","生产","磚豐","令躲","factory","production"
"伪造的","错误的","把捶","此芭","fake","FALSE"
"农民","工人","太飯","綁艷","farmer","worker"
"联邦","状态","弄公","期酒","federal","state"
"保真","奉献","腿吹","便瑩","fidelity","devotion"
"金融","投资","起夫","情精","finance","invest"
"公司","机构","船意","氣寡","firm","agency"
"第一的","最后的","同斃","獄養","first","last"
"旗帜","象征","母筆","井秀","flag","symbol"
"流感","疾病","回得","間慘","flu","disease"
"跟随","追赶","理壇","步領","follow","chase"
"原谅","借口","允面","收統","forgive","excuse"
"饶恕","怜悯","遺碟","豬歎","forgiveness","mercy"
"形式","标志","妥源","柔近","form","sign"
"获得","赢","兒下","營插","gain","win"
"天才","科学家","錢射","排貨","genius","scientist"
"手势","行为","銷靡","召男","gesture","act"
"眼镜","帽","裏留","泛僧","glasses","cap"
"上帝","神圣","格地","引濕","god","divine"
"抓住","抓住","巨當","不流","grab","catch"
"孙子","侄子","動置","生索","grandson","nephew"
"感激","谢谢","著臼","一賽","grateful","thank"
"绿色","橘子","電手","角約","green","orange"
"手","手臂","滾實","細閉","hand","arm"
"绞刑","执行","效海","花議","hanging","execution"
"健康","教育","惹仙","城伴","health","education"
"健康","普通的","搖優","枝含","healthy","normal"
"听力","审判","小起","漿手","hearing","trial"
"你好","再见","酵歌","蝕軟","hello","bye"
"帮助","助攻","骨警","有起","help","assist"
"这里","那里","革哮","突實","here","there"
"遗产","继承","清給","供士","heritage","inherit"
"英雄","救主","近茶","痛誤","hero","savior"
"聘请","租","字荼","奴慣","hire","rent"
"抓住","保持","地承","嫂隱","hold","keep"
"蜜糖","黄油","市指","飯自","honey","butter"
"希望","信仰","征膩","家摺","hope","faith"
"恐怖","恐惧","所繁","小身","horror","fear"
"打猎","钓鱼","念美","徹觀","hunting","fishing"
"错觉","幻觉","空干","素訓","illusion","hallucination"
"印象","感觉","紐看","魔閉","impression","feeling"
"行业","商业","要向","鐘調","industry","business"
"不公正","不公平","等口","條示","injustice","unfair"
"国际的","世界","印綱","匯霧","international","world"
"吉普车","卡车","題人","望纏","jeep","truck"
"只是","最近","冰修","拆友","just","recently"
"土地","飞","司好","對切","land","fly"
"图书馆","博物馆","成焚","木良","library","museum"
"闪电","雷","業右","耍新","lightning","thunder"
"液体","体液","幫棄","尖族","liquid","fluid"
"小的","小的","打焙","侄車","little","small"
"锁定","关闭","刑餵","化炮","locked","closed"
"看","手表","誡獵","師藏","look","watch"
"主","淑女","受痠","粗寄","lord","lady"
"失败者","优胜者","白耳","缺觸","loser","winner"
"低的","高的","緊子","金景","low","high"
"忠诚","诚实","燒偵","會甲","loyalty","honesty"
"魔法","巫师","助寶","某遊","magic","wizard"
"磁的","电的","聲荒","搖璀","magnetic","electric"
"邮件","传真","化常","皇斑","mail","fax"
"制作","做","事活","藉玄","make","do"
"经理","老板","偏香","因炊","manager","boss"
"人","人类","猛實","足終","man","human"
"火星","金星","手者","場然","mars","venus"
"事情","粒子","好枝","芳視","matter","particle"
"可能是","大概","跌北","以答","maybe","probably"
"意义","重要性","走壓","破分","meaning","importance"
"医疗的","心理","堂充","出粒","medical","psychological"
"英里","厘米","食走","戰伸","mile","centimeter"
"牛奶","果汁","店捐","時人","milk","juice"
"百万","十亿","睾傳","加爹","million","billion"
"明","凌","碼閉","飲街","ming","ling"
"现代的","传统的","結嗓","胃角","modern","traditional"
"移动","转移","燒撫","皇歌","move","transfer"
"幼稚的","愚蠢的","餘曲","下滅","naïve","stupid"
"姓名","标题","壓而","個線","name","title"
"国家的","全球的","禮下","呆管","national","global"
"靠近","远的","確寂","在監","near","far"
"必要的","需要","男趕","出樞","necessary","need"
"巢","蛋","法驅","級洗","nest","egg"
"绝不","曾经","費疫","咁子","never","ever"
"好的","迷人的","奠異","累童","nice","lovely"
"忍者","武士","氣期","板時","ninja","samurai"
"高贵","勇敢的","現橋","鋼泡","noble","brave"
"一般","通常","部興","義加","normally","usually"
"没有","某物","歸爭","世鼻","nothing","something"
"十一月","十二月","手管","很礦","november","december"
"现在","知道","聖災","橫價","now","know"
"观察","评估","陷水","牛夫","observation","evaluation"
"提供","给","棚笨","孫他","offer","give"
"好的","是的","示祇","早同","okay","yeah"
"老的","年轻","濫辦","餬屑","old","young"
"一","三","除女","色銬","one","three"
"打开","关闭","拔散","開記","open","close"
"开幕式","关闭","線市","取怪","opening","closure"
"操作","手术","需攬","開跌","operate","surgery"
"观点","态度","靠關","範鮮","opinion","attitude"
"乐观的","实际的","小貌","遷夜","optimistic","realistic"
"乐队","乐队","倡疊","陀木","orchestra","band"
"普通的","通常","飛隱","聽擠","ordinary","usual"
"原版的","复制","示子","謬精","original","copy"
"出去","关于","成賽","身食","out","about"
"外部","里面","美平","著更","outside","inside"
"画","画","錯鳴","榨抑","paint","draw"
"天堂","地狱","夢庵","代弱","paradise","hell"
"偏执狂","疯狂的","詞步","質彩","paranoid","crazy"
"议会","参议院","伏催","美囑","parliament","senate"
"病人","客户","重隱","墓冰","patient","client"
"人","个人","罰輩","絕僭","person","individual"
"现象","事件","贈光","農關","phenomenon","event"
"哲学","宗教","單錯","柳教","philosophy","religion"
"物理","数学","匯觀","重股","physics","mathematics"
"野餐","野营","濕礎","節相","picnic","camping"
"手枪","武器","煞邊","掠庶","pistol","weapon"
"地方","地点","地虎","尾舅","place","location"
"行星","轨道","通實","王損","planet","orbit"
"花花公子","杂志","跳純","但葉","playboy","magazine"
"加","减","難金","姿刀","plus","minus"
"观点","表明","票痛","味半","point","indicate"
"毒","杀","珍標","評山","poison","kill"
"政策","政治家","縣片","台疊","policy","politician"
"人口","人们","得種","喻淺","population","people"
"门户网站","门","單天","數拱","portal","gate"
"准备","规划","貢洗","親碎","preparation","planning"
"漂亮","美丽的","禍定","問水","pretty","beautiful"
"猎物","掠夺者","止眾","還爹","prey","predator"
"可能性","可能是","傲夫","餐行","probability","likely"
"进步","发展","使目","席果","progress","development"
"项目","程序","典內","向倒","project","program"
"财产","所有者","於陰","容估","property","owner"
"自豪的","兴奋的","木意","定品","proud","excited"
"酒吧","餐厅","氣鬍","到原","pub","restaurant"
"脉冲","压力","進金","兔量","pulse","pressure"
"惩治","逮捕","抵滅","排黨","punish","arrest"
"题","问","殺還","警得","question","ask"
"种族主义的","共产","姪富","治雜","racist","communist"
"读","写作","魚手","乳鐵","reading","writing"
"原因","原因","耐客","框羊","reason","cause"
"认出","知道","特子","來扉","recognize","knew"
"难民","逃亡者","光麥","刊塵","refugee","fugitive"
"相对的","表哥","可國","接慕","relative","cousin"
"代替","代替","讖違","憤誠","replace","substitute"
"报告","通知","士趾","久雷","report","inform"
"尊重","信心","條傲","籃勉","respect","confidence"
"责任","义务","後豬","賬訪","responsibility","duty"
"休息","睡觉","捐壇","盆字","rest","sleep"
"启示","想象","冷喜","荒質","revelation","vision"
"韵律","风格","公查","訪亡","rhythm","style"
"正确的","剩下","壯來","早區","right","left"
"有风险","危险的","奏款","諷碳","risky","dangerous"
"路","高速公路","聲運","具宵","road","highway"
"圆形的","大约","乾撤","橫單","round","around"
"皇室","王国","掉早","轉城","royal","kingdom"
"规则","协议","土抱","存片","rule","protocol"
"朗姆酒","科涅克白兰地","放鰾","重成","rum","cognac"
"伤心","悲惨","在禍","封法","sad","tragic"
"周六","星期日","落言","菜稿","Saturday","Sunday"
"说","告诉","上湛","志而","say","tell"
"刮","挫伤","衝巢","責直","scratch","bruise"
"屏幕","监视器","平癢","本胃","screen","monitor"
"第二","分钟","煙琢","讀惶","second","minute"
"秘密","神秘","在為","免午","secret","mystery"
"看","遇到","靠任","毛平","see","meet"
"性","身体的","低得","償出","sexual","physical"
"阴影","黑暗的","講門","原交","shadow","dark"
"显示","表现","電掉","塢通","show","performance"
"相似的","不同的","足次","窮甲","similar","different"
"罪","犯罪","老餐","厭革","sin","crime"
"单身的","已婚","滾冊","積飯","single","married"
"尺寸","长度","傳官","肉犯","size","length"
"天空","天上","聲起","譯圍","sky","heavenly"
"粉碎","休息","獨託","手卉","smash","break"
"抽烟","雪茄","放打","法纖","smoke","cigar"
"有时","经常","工播","派聲","sometimes","often"
"汤","沙拉","歷茶","逐贏","soup","salad"
"资源","整理车","況炮","場鋼","source","informant"
"体育场","棒球","債上","白陶","stadium","baseball"
"偷","抢","編河","侍路","steal","rob"
"戳","锤子","角報","娘久","stick","hammer"
"力量","力量","證中","夫毒","strength","force"
"压力","沮丧","授候","個書","stress","depression"
"固执的","自私","倒長","使儉","stubborn","selfish"
"潜艇","船","擬心","後青","submarine","boat"
"痛苦","疼痛","緊主","喪胚","suffering","pain"
"症状","综合征","忙北","頭答","symptom","syndrome"
"坦克","引擎","鼓處","幽千","tank","engine"
"出租车","豪华轿车","兵訪","烈宮","taxi","limousine"
"眼泪","切","證常","喜禦","tear","cut"
"文本","诗","考健","動從","text","poem"
"贼","刑事","墓眼","民商","thief","criminal"
"薄的","厚的","市撇","理箱","thin","thick"
"第三","第四","晚升","應萄","third","fourth"
"吐司","熏肉","色身","肅位","toast","bacon"
"烟草","香烟","躍事","田過","tobacco","cigarette"
"洗手间","下沉","兇祈","岳乾","toilet","sink"
"明天","早晨","都書","劇投","tomorrow","morning"
"比赛","匹配","傳鈪","預樹","tournament","match"
"预告片","班","柵一","拔課","trailer","van"
"诡计","玩笑","協壞","好交","trick","joke"
"真的","真实的","疲判","諷師","TRUE","real"
"相信","相信","起型","罪迸","trust","believe"
"尝试","试图","密嫌","進雙","try","attempt"
"转动","旋转","非居","鞭喘","turn","rotate"
"二","四","房於","侵櫃","two","four"
"飞碟","外星人","場良","客薑","ufo","alien"
"叔叔","爸爸","拼軍","無庇","uncle","dad"
"不舒服","不愉快","空望","交涼","uncomfortable","unpleasant"
"有用","有效的","還戲","黑時","useful","effective"
"价值","价钱","收歧","頭生","value","price"
"等待","预计","武贈","點視","wait","expect"
"温暖的","凉爽的","類秋","道難","warm","cool"
"警告","信息","注私","誡頭","warning","message"
"什么","那","說街","餘水","what","that"
"威士忌酒","伏特加","送年","國入","whiskey","vodka"
"寡妇","女士","文女","醫運","widow","woman"
"机智","有趣的","審口","蔬匣","witty","funny"
"单词","句子","拍歌","及名","word","sentence"
"南","北","盈滑","撬辦","south","north"
"西","东方","世雞","意牌","west","east"
"白色的","黑色的","前嫂","遊錦","white","black"
"积极的","消极的","如整","益景","positive","negative"
"红色的","黄色的","稅掠","破稿","red","yellow"
"英语","法语","瓜巴","壯嘴","english","french"
"公主","王子","稻柔","選開","princess","prince"
"母亲","父亲","數敗","奸飛","mother","father"
"读","写","視改","河早","read","write"
"狗","猫","求凝","脫面","dog","cat"
"女王","国王","置走","用子","queen","king"
"强的","虚弱的","猜降","劃宅","strong","weak"
"一般的","上校","聯場","發修","general","colonel"
"省长","参议员","實慘","意啄","governor","senator"
"外科医生","医生","以省","路疚","surgeon","doctor"
"姐姐","兄弟","藝配","循伴","sister","brother"
"清白的","有罪","嗆室","哲影","innocent","guilty"
"学生","老师","刊恨","巾事","student","teacher"
"自杀","谋杀","耐閉","眼論","suicide","murder"
"女孩","男生","諱露","晚化","girl","boy"
"医院","诊所","台蟹","衝問","hospital","clinic"
"酒店","汽车旅馆","下出","錯平","hotel","motel"
"风险","危险","重末","重雀","risk","danger"
"离婚","婚姻","鬆池","相衫","divorce","marriage"
"指挥官","队长","個拿","光亂","commander","captain"
"瘤","癌症","雙清","好呼","tumor","cancer"
"热的","寒冷的","深鏈","帶海","hot","cold"
"火车","公共汽车","驚界","距脈","train","bus"
"男性","女性","愉卵","迂線","male","female"
"车辆","车","損水","點慌","vehicle","car"
"铁","金属","子誤","幕舞","iron","metal"
"可卡因","海洛因","浪巾","成給","cocaine","heroin"
"神话","传奇","陶水","搥殼","myth","legend"
"发电机","反应堆","上仙","繼念","generator","reactor"
"主意","理论","耍截","級詞","idea","theory"
"恨","爱","花袱","力衛","hate","love"
"大学","大学","液急","同蔔","college","university"
"风","风暴","單沮","住看","wind","storm"
"夏天","冬天","配天","房動","summer","winter"
"炸弹","爆炸性","食除","喜太","bomb","explosive"
"剑","刀","殆單","少喜","sword","knife"
"军士","中尉","犬依","覓羞","sergeant","lieutenant"
"同事","朋友","情板","心子","colleague","friend"
"生产者","导向器","刻配","兜肋","producer","director"
"理想的","完美的","倒心","演亮","ideal","perfect"
"蝴蝶","鸟","孤語","家題","butterfly","bird"
"婴儿","孩子","汐喜","要燭","baby","child"
"听","听到","東有","盈沖","listen","hear"
"买","卖","瘀布","渴例","buy","sell"
"战争","战斗","狀瑣","味停","war","battle"
"糟糕的","可怕","品長","增飩","terrible","horrible"
"肮脏的","厌恶","宏地","貪腿","dirty","disgusting"
"熊","狼","迫瓜","果臉","bear","wolf"
"雨","雪","受塑","抽艦","rain","snow"
"成功","失败","儼預","種對","success","failure"
"干燥","湿的","折她","空方","dry","wet"
"噪音","声音","回彎","破公","noise","sound"
"在场","缺席","刑停","邁幸","presence","absence"
"技术","科学","飾上","球胎","technology","science"
"秘书","助手","進罕","藏變","secretary","assistant"
"非法的","合法的","學腹","醉風","illegal","legal"
"实验","测试","貞摸","驚蕾","experiment","test"
"会议","会议","棄年","旁有","conference","meeting"
"舞蹈家","舞蹈","算聲","出申","dancer","dance"
"委员会","委员会","落順","滋外","commission","committee"
"最低限度","最大","尋載","方掉","minimum","maximum"
"确认","确认","月矮","要長","confirmation","confirm"
"业余","专业的","巡獨","塘邪","amateur","professional"
"九月","十月","抵歌","戒入","september","october"
"准备好","准备","弒教","數聖","ready","prepare"
"女儿","儿子","構訪","舉口","daughter","son"
"射击","射击","制慈","及毅","shot","shoot"
"忘记","记住","產意","轉媽","forget","remember"
"火","火焰","帳客","布營","fire","flame"
"短的","长","加澎","食盲","short","long"
"盒子","包","修子","墨受","box","bag"
"窗户","门","見賣","事落","window","door"
"戒指","项链","秘羈","經群","ring","necklace"
"海","海洋","紅險","鋪丹","sea","ocean"
"宇宙","星系","引凌","首氧","universe","galaxy"
"胜利","打败","語蓋","人擺","victory","defeat"
"间谍","叛徒","替藉","忍顯","spy","traitor"
"文化","文明","壽壟","惡火","culture","civilization"
"异常","奇怪的","聽刻","亂股","unusual","strange"
"高尔夫球","网球","打受","少雷","golf","tennis"
"非洲","美国","油毀","獨鐵","africa","america"
"公里","仪表","前子","髮底","kilometer","meter"
"夜晚","晚上","口伍","用政","night","evening"
"喝","啤酒","途驅","約冠","drink","beer"
"数字","地址","彈認","吞日","number","address"
"晚了","早期的","喊級","禁君","late","early"
"学习","教导","旁型","霍安","learn","teach"
"较差的","富有的","友汁","靈亮","poor","rich"
"桌子","椅子","屬采","傳形","table","chair"
"法庭","法官","利色","學毀","court","judge"
"精彩的","极好的","通彩","團憤","wonderful","fantastic"
"傻子","笨蛋","疲給","名閒","fool","idiot"
"微笑","笑","昏好","強飾","smile","laugh"
"特点","性格","種崗","市愕","character","personality"
"全体人员","船","別會","足凡","crew","ship"
"衬衫","夹克","牧份","令巨","shirt","jacket"
"过程","程序","用校","量勉","process","procedure"
"社会","社区","添淨","除通","society","community"
"祖父","祖母","大從","心澗","grandfather","grandmother"
"爬坡道","山","生像","母正","hill","mountain"
"艺术家","画家","及美","無驗","artist","painter"
"戏剧","喜剧","熱娘","竭污","drama","comedy"
"记者","记者","成漲","法題","reporter","journalist"
"正式","官方的","船隔","淺死","officially","official"
"磅","美元","細銜","發仁","pound","dollar"
"积极的","活动","拳魚","火支","active","activity"
"雷达","卫星","除子","兵幸","radar","satellite"
"灯","蜡烛","稚刻","當善","lamp","candle"
"仪式","仪式","軍甜","心頁","ritual","ceremony"
"精神的","情绪化","餌色","濟多","mental","emotional"
"讲话","说话","首誤","不彼","talk","speak"
"玩","游戏","文米","勢治","play","game"
"丈夫","妻子","料性","搞五","husband","wife"
"公司","公司","陷初","進罰","company","corporation"
"班级","学校","寬暖","連延","class","school"
"保护","保卫","田祈","隨空","protect","defend"
"律师","检察官","草蠻","順股","lawyer","prosecutor"
"搜索","找","指嚼","觀卻","search","find"
"品尝","闻","兇胞","來衣","taste","smell"
"玻璃","瓶子","體契","喉兄","glass","bottle"
"收音机","电视","赤儲","忙忌","radio","television"
"慢","快速地","比犯","庫雜","slow","fast"
"怪物","生物","拓愚","報風","monster","creature"
"士兵","战士","煙及","查要","soldier","warrior"
"骨","颅骨","制招","代容","bone","skull"
"病毒","感染","職大","帶罰","virus","infection"
"钢琴","吉他","傾共","紙名","piano","guitar"
"混乱","困惑","身宮","潰料","chaos","confusion"
"世纪","十年","聽小","寒中","century","decade"
"订婚","婚礼","手報","務舊","engagement","wedding"
"鲨鱼","鱼","僅處","輪示","shark","fish"
"僧","牧师","出斷","加器","monk","priest"
"电报","信件","哨皇","醫煤","telegram","letter"
"周一","周二","鬱中","子通","monday","tuesday"
"背部","返回","奶秀","盤曆","back","return"
"居住","存活","骨結","挑式","live","survive"
"特别的","独特","舊得","許色","special","unique"
"情况","危机","端話","難殘","situation","crisis"
"疲劳的","饥饿的","許屈","逼砸","tired","hungry"
"月","星期","扣報","查感","month","week"
"吻","拥抱","鍵牆","白論","kiss","hug"
"灵魂","精神","油住","難資","soul","spirit"
"钥匙","锁","釋健","脫場","key","lock"
"墙","栅栏","帽憂","詢戲","wall","fence"
"安静的","冷静的","服遺","懸色","quiet","calm"
"敌人","对手","分長","回性","enemy","opponent"
"葡萄酒","香槟酒","準吊","話代","wine","champagne"
"河","湖","美還","癒方","river","lake"
"证人","见证","談兩","套讚","witness","testimony"
"文件","文档","一鬆","取靜","file","document"
"职业","名声","徹魚","兒爪","career","reputation"
"杯子","咖啡","紅奪","提雜","cup","coffee"
"瞎的","聋","粒哀","樹柱","blind","deaf"
"合同","协议","通頭","答賦","contract","agreement"
"现实","幻想","臟惡","晉同","reality","fantasy"
"成员","领导","監取","撈案","member","leader"
"面包","起司","煮星","苦平","bread","cheese"
"爬","跳","明地","接邁","climb","jump"
"受欢迎的","著名的","戶息","打缺","popular","famous"
"影响","影响","難俗","撐瞇","influence","effect"
"直接的","直接地","目章","魚討","direct","directly"
"恶梦","梦","紙助","湧訴","nightmare","dream"
"文章","报纸","組解","練薪","article","newspaper"
"有价值的","重要的","墨醜","輕承","valuable","important"
"治疗","治疗","玉操","岸提","therapy","treatment"
"歌手","音乐家","交沫","形鴨","singer","musician"
"老鼠","鼠","皮麻","意嘴","mouse","rat"
"专家","专家","域打","得下","expert","specialist"
"人质","囚犯","營脂","清發","hostage","prisoner"
"女同性恋者","同性戀","好代","星閱","lesbian","gay"
"工程师","建筑师","郁說","敍盈","engineer","architect"
"画廊","展览","餵站","匣偽","gallery","exhibition"
"篮球","足球","吃飄","明侯","basketball","football"
"主教","红衣主教","睇邊","情當","bishop","cardinal"
"爵士乐","音乐","防菜","帶交","jazz","music"
"灰","灰尘","瓜法","如票","ash","dust"
"圣经","书","聯氣","版禿","bible","book"
"大街","街道","言時","辯油","avenue","street"
"六月","七月","守命","相爪","june","july"
"回答","回复","單守","豌板","answer","reply"
